agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
DQN,35,final,1,3001,0.12431944131851197,3.0,3.0,0.816383421421051,0.0002414036231736342
DQN,35,final,2,3002,0.21968521356582643,2.0,2.0,0.602222740650177,0.00022492677089758217
DQN,35,final,3,3003,0.09000000000000001,1.0,1.0,0.1891867071390152,0.00015433024964295328
DQN,35,final,4,3004,0.09063042879104616,2.0,2.0,0.8430056571960449,0.0004128059808863327
DQN,35,final,5,3005,0.05311007976531983,2.0,2.0,0.7952277064323425,0.00039869242027634755
DQN,35,final,6,3006,-0.6489097476005555,10.0,3.0,0.9608564972877502,0.0003688973403768614
DQN,35,final,7,3007,0.24641931772232056,3.0,3.0,0.8140925765037537,0.00029088631466341514
DQN,35,final,8,3008,0.2495339584350586,3.0,3.0,0.8826565742492676,0.00029450673415946466
DQN,35,final,9,3009,0.3315997791290283,3.0,3.0,0.9450349807739258,0.00038932323999082047
DQN,35,final,10,3010,0.3075137305259705,2.0,2.0,0.7262846827507019,0.0011234629055252299
DQN,35,final,11,3011,0.09000000000000001,1.0,1.0,0.6416521072387695,0.00022533797891810536
DQN,35,final,12,3012,0.3384512734413147,3.0,3.0,0.6718912124633789,0.0003305508677537243
DQN,35,final,13,3013,0.09000000000000001,1.0,1.0,0.15408869087696075,0.00033075892133638263
DQN,35,final,14,3014,0.12467627406120302,2.0,2.0,0.37861210107803345,0.0002016607832047157
DQN,35,final,15,3015,0.03294207572937013,3.0,2.0,0.7424827814102173,0.0006635838168828437
DQN,35,final,16,3016,0.14779515743255617,2.0,2.0,0.7631034851074219,0.0002810205041896552
DQN,35,final,17,3017,0.15045722007751466,2.0,2.0,0.5702069401741028,0.00023921475803945214
DQN,35,final,18,3018,0.22881217479705812,2.0,2.0,1.1289385557174683,0.0004041836364194751
DQN,35,final,19,3019,0.09000000000000001,1.0,1.0,0.8573554158210754,0.0003579318290576339
DQN,35,final,20,3020,0.09000000000000001,1.0,1.0,0.6659902334213257,0.0003010295913554728
DQN,35,final,21,3021,0.087314612865448,3.0,3.0,0.8190129399299622,0.0005434570533301061
DQN,35,final,22,3022,0.46281028509140015,3.0,3.0,0.9789538979530334,0.00031002658458116156
DQN,35,final,23,3023,0.12053962230682375,2.0,2.0,1.2685425281524658,0.00016927863180171698
DQN,35,final,24,3024,0.2080854940414429,2.0,2.0,0.6502428650856018,0.00043499335879459977
DQN,35,final,25,3025,0.09000000000000001,1.0,1.0,0.40959739685058594,0.0003727972798515111
DQN,35,final,26,3026,0.14680291891098024,2.0,2.0,0.8291252851486206,0.007651652485947125
DQN,35,final,27,3027,0.09000000000000001,1.0,1.0,0.6618832945823669,0.0003327294543851167
DQN,35,final,28,3028,0.09000000000000001,1.0,1.0,0.22823837399482727,0.000231945829000324
DQN,35,final,29,3029,0.05751973569393159,2.0,2.0,0.25202420353889465,0.0003380419948371127
DQN,35,final,30,3030,0.08266200304031374,2.0,2.0,0.2064642608165741,0.00016003500059014186
DQN,35,final,31,3031,0.09000000000000001,1.0,1.0,0.8370628356933594,0.0004378504818305373
DQN,35,final,32,3032,-0.15799245119094846,8.0,2.0,0.7104897499084473,0.0008510712104907725
DQN,35,final,33,3033,0.09868319511413576,2.0,2.0,1.1534900665283203,0.0004031036078231409
DQN,35,final,34,3034,0.09000000000000001,1.0,1.0,0.16797612607479095,0.000388142594601959
DQN,35,final,35,3035,0.020521866083145157,2.0,2.0,0.41013506054878235,0.0005496736121131107
DQN,35,final,36,3036,0.23721665859222413,3.0,3.0,0.900113582611084,0.00035180235863663256
DQN,35,final,37,3037,-0.47353105545043944,10.0,2.0,0.6541663408279419,0.0010280663962475955
DQN,35,final,38,3038,0.09000000000000001,1.0,1.0,0.1407311111688614,0.00031115266028791666
DQN,35,final,39,3039,0.0343316912651062,5.0,3.0,0.9862623810768127,0.0003038056631339714
DQN,35,final,40,3040,0.09029449701309206,2.0,2.0,0.7980934381484985,0.0008574557432439178
DQN,35,final,41,3041,0.2547623682022095,2.0,2.0,0.691013514995575,0.0003026032791240141
DQN,35,final,42,3042,0.11327304124832155,2.0,2.0,0.36638036370277405,0.00031902828777674586
DQN,35,final,43,3043,0.09000000000000001,1.0,1.0,0.14416252076625824,0.0007178901578299701
DQN,35,final,44,3044,0.18430416464805605,2.0,2.0,0.42431047558784485,0.0019323286542203277
DQN,35,final,45,3045,0.09220163702964784,2.0,2.0,0.3888247013092041,0.0006414921954274178
DQN,35,final,46,3046,0.09000000000000001,1.0,1.0,0.2858865559101105,0.00033659086329862475
DQN,35,final,47,3047,0.17805890917778017,2.0,2.0,0.4138558804988861,0.0005315940943546593
DQN,35,final,48,3048,0.12875361919403078,2.0,2.0,0.850342869758606,0.00048746418906375766
DQN,35,final,49,3049,0.08735390186309816,2.0,2.0,0.996740460395813,0.0005434216582216322
DQN,35,final,50,3050,0.07630366265773775,2.0,2.0,0.20452283322811127,0.003550797831849195
DQN,35,final,51,3051,0.18722099781036378,3.0,3.0,0.7009099125862122,0.0010216615240400035
DQN,35,final,52,3052,0.09000000000000001,1.0,1.0,0.4869089722633362,0.00405275309458375
DQN,35,final,53,3053,-0.0034309458732604825,2.0,2.0,0.6432572603225708,0.0005652467079926282
DQN,35,final,54,3054,0.06945647478103639,2.0,2.0,0.6874984502792358,0.0003902171447407454
DQN,35,final,55,3055,0.20101274728775026,2.0,2.0,0.6672090888023376,0.0005550516652874649
DQN,35,final,56,3056,0.11100246191024782,2.0,2.0,0.3146377205848694,0.00038016475446056575
DQN,35,final,57,3057,0.12367840290069582,2.0,2.0,0.6474749445915222,0.006989636924117804
DQN,35,final,58,3058,0.05645515203475953,2.0,2.0,0.6592274308204651,0.000626798631856218
DQN,35,final,59,3059,-0.01665050506591796,7.0,5.0,1.1311638355255127,0.0005132502826329853
DQN,35,final,60,3060,0.15127904891967775,2.0,2.0,0.7722364664077759,0.00038441938522737473
DQN,35,final,61,3061,0.012025671005249039,2.0,2.0,0.7591472268104553,0.0005049445608165115
DQN,35,final,62,3062,0.1560886073112488,2.0,2.0,0.5986477136611938,0.002383471844950691
DQN,35,final,63,3063,0.09848320662975313,2.0,2.0,0.18700912594795227,0.0003978339518653229
DQN,35,final,64,3064,0.14698631525039674,4.0,3.0,0.6420515179634094,0.0003985315779573284
DQN,35,final,65,3065,0.2684971261024475,2.0,2.0,0.8793050646781921,0.0007990640588104725
DQN,35,final,66,3066,0.22039474725723268,2.0,2.0,0.7903781533241272,0.0003346441517351195
DQN,35,final,67,3067,0.19159205436706545,2.0,2.0,0.6803359389305115,0.0009463808382861316
DQN,35,final,68,3068,0.24237819194793703,2.0,2.0,0.6793540120124817,0.0007670445629628375
DQN,35,final,69,3069,0.1806494164466858,2.0,2.0,0.7392504811286926,0.0005020513053750619
DQN,35,final,70,3070,0.09000000000000001,1.0,1.0,0.09354693442583084,0.0008259376627393067
DQN,35,final,71,3071,0.09000000000000001,1.0,1.0,0.2636423707008362,0.0004370265523903072
DQN,35,final,72,3072,0.04540778875350953,2.0,2.0,0.7079816460609436,0.0004196368681732565
DQN,35,final,73,3073,-0.0514130425453186,2.0,2.0,0.8679689168930054,0.006164057267596945
DQN,35,final,74,3074,0.13598080158233644,2.0,2.0,0.38802748918533325,0.0004960670339642093
DQN,35,final,75,3075,0.021708177328109757,2.0,2.0,0.45954427123069763,0.0015845405869185925
DQN,35,final,76,3076,0.09000000000000001,1.0,1.0,0.9631600975990295,0.0003430727811064571
DQN,35,final,77,3077,0.09000000000000001,1.0,1.0,0.11037848144769669,0.0006977076409384608
DQN,35,final,78,3078,0.09000000000000001,1.0,1.0,0.17939235270023346,0.0003530775720719248
DQN,35,final,79,3079,0.0744083094596863,2.0,2.0,0.42278972268104553,0.0004052072181366384
DQN,35,final,80,3080,0.2225544023513794,2.0,2.0,0.8352936506271362,0.00034349708585068583
DQN,35,final,81,3081,0.09000000000000001,1.0,1.0,0.5208449959754944,0.00033349439036101103
DQN,35,final,82,3082,0.11181040287017824,2.0,2.0,0.30233487486839294,0.000481663562823087
DQN,35,final,83,3083,-0.0010151743888855008,5.0,3.0,0.9709287285804749,0.0005867337458766997
DQN,35,final,84,3084,0.09000000000000001,1.0,1.0,0.7187520265579224,0.00043286356958560646
DQN,35,final,85,3085,0.09000000000000001,1.0,1.0,0.4758181571960449,0.00028001840109936893
DQN,35,final,86,3086,0.09000000000000001,1.0,1.0,0.418901652097702,0.0006053840043023229
DQN,35,final,87,3087,0.0251194953918457,5.0,3.0,0.6264373064041138,0.0014248020539525895
DQN,35,final,88,3088,0.21783282041549684,2.0,2.0,0.3708428740501404,0.0007908354309620336
DQN,35,final,89,3089,0.17775114059448244,2.0,2.0,1.0213978290557861,0.0012779956159647554
DQN,35,final,90,3090,0.19811113357543947,2.0,2.0,0.7410058379173279,0.0008033390331547707
DQN,35,final,91,3091,0.3342166113853455,2.0,2.0,0.7509096264839172,0.0004770570667460561
DQN,35,final,92,3092,0.010550038814544693,2.0,2.0,0.6583560705184937,0.0003349203907418996
DQN,35,final,93,3093,0.12817536473274233,2.0,2.0,0.23311874270439148,0.000363300961907953
DQN,35,final,94,3094,0.09000000000000001,1.0,1.0,0.48650428652763367,0.0006427670014090836
DQN,35,final,95,3095,-0.5124692916870117,10.0,3.0,0.8674563765525818,0.00034430042724125086
DQN,35,final,96,3096,0.2317945432662964,3.0,3.0,0.6013475060462952,0.000610814691754058
DQN,35,final,97,3097,0.18247075557708742,2.0,2.0,0.5956729054450989,0.00033978601277340204
DQN,35,final,98,3098,0.09000000000000001,1.0,1.0,0.177160382270813,0.0005225687054917216
DQN,35,final,99,3099,0.2868768048286438,3.0,3.0,0.4282251000404358,0.0005883512882671008
DQN,35,final,100,3100,0.09000000000000001,1.0,1.0,0.7279061079025269,0.0004268833145033568
DQN,35,final,101,3101,0.14026676297187807,2.0,2.0,0.4075149893760681,0.0003650589060271159
DQN,35,final,102,3102,0.09000000000000001,1.0,1.0,0.4140034317970276,0.000330424023559317
DQN,35,final,103,3103,0.09000000000000001,1.0,1.0,0.7383178472518921,0.0005125717143528163
DQN,35,final,104,3104,0.09000000000000001,1.0,1.0,0.16311241686344147,0.0003067145880777389
DQN,35,final,105,3105,0.06375925421714784,2.0,2.0,0.2702800929546356,0.00020305856014601886
DQN,35,final,106,3106,0.09000000000000001,1.0,1.0,0.22944626212120056,8.396038174396381e-05
DQN,35,final,107,3107,0.09000000000000001,1.0,1.0,0.4803480803966522,0.00035292620304971933
DQN,35,final,108,3108,0.11830503463745118,3.0,3.0,1.104103922843933,0.0002474835200700909
DQN,35,final,109,3109,0.10517622709274294,2.0,2.0,0.7579258680343628,0.0002210221136920154
DQN,35,final,110,3110,0.27503170251846315,2.0,2.0,0.669481635093689,0.0004316943231970072
DQN,35,final,111,3111,0.1921964454650879,2.0,2.0,1.1441919803619385,0.0004654007498174906
DQN,35,final,112,3112,0.22196205139160158,2.0,2.0,0.606006920337677,0.00024360934912692755
DQN,35,final,113,3113,0.09000000000000001,1.0,1.0,0.23211102187633514,0.0002355796459596604
DQN,35,final,114,3114,0.03431688427925111,2.0,2.0,0.4307427406311035,0.00022934048320166767
DQN,35,final,115,3115,0.09000000000000001,1.0,1.0,0.8073400855064392,0.000433393259299919
DQN,35,final,116,3116,0.1893028783798218,2.0,2.0,0.5618565678596497,0.0005339938506949693
DQN,35,final,117,3117,0.1067888903617859,2.0,2.0,0.7623961567878723,0.00035926225245930254
DQN,35,final,118,3118,0.13272358655929567,2.0,2.0,0.5326559543609619,0.0016302921576425433
DQN,35,final,119,3119,0.09000000000000001,1.0,1.0,0.10294466465711594,0.00012485770275816321
DQN,35,final,120,3120,0.1724577021598816,3.0,3.0,0.7764755487442017,0.00042722632254784304
DQN,35,final,121,3121,0.09000000000000001,1.0,1.0,0.392608642578125,0.0005602607852779329
DQN,35,final,122,3122,-0.00910388708114622,3.0,3.0,0.7777042388916016,0.00041122041875496507
DQN,35,final,123,3123,-0.01685651421546934,3.0,3.0,0.46108219027519226,0.0006380410535105815
DQN,35,final,124,3124,-0.009069902896881088,2.0,2.0,0.4161863327026367,0.00034234939084853977
DQN,35,final,125,3125,-0.18662053346633914,10.0,3.0,0.9769999384880066,0.0019210702899727038
DQN,35,final,126,3126,0.09000000000000001,1.0,1.0,0.11369740962982178,0.0005096439854241908
DQN,35,final,127,3127,0.11764103174209596,5.0,4.0,0.8196967244148254,0.0003176311671268195
DQN,35,final,128,3128,0.13463719367980959,2.0,2.0,0.7139080166816711,0.0004339059232734144
DQN,35,final,129,3129,0.1553450393676758,2.0,2.0,0.3624880611896515,0.00030400972900679335
DQN,35,final,130,3130,0.09000000000000001,1.0,1.0,0.3739891052246094,0.0004725189646705985
DQN,35,final,131,3131,0.09000000000000001,1.0,1.0,0.32729142904281616,0.00027550614322535694
DQN,35,final,132,3132,-0.04644374132156372,3.0,2.0,0.7570369839668274,0.002835536239823947
DQN,35,final,133,3133,0.09000000000000001,1.0,1.0,0.58824622631073,0.0004353803233243525
DQN,35,final,134,3134,0.232275652885437,5.0,5.0,0.6568551659584045,0.0004929809307213873
DQN,35,final,135,3135,0.09000000000000001,1.0,1.0,0.46135926246643066,0.0003107215161435306
DQN,35,final,136,3136,0.4218326282501221,3.0,3.0,0.9452489614486694,0.0005420546804089099
DQN,35,final,137,3137,0.09000000000000001,1.0,1.0,0.3487837016582489,0.0023028117138892412
DQN,35,final,138,3138,0.09000000000000001,1.0,1.0,0.149528369307518,0.0004964768886566162
DQN,35,final,139,3139,0.09000000000000001,1.0,1.0,0.27179044485092163,0.0003564440121408552
DQN,35,final,140,3140,-0.10917905330657958,6.0,2.0,0.8644784688949585,0.0005223178498757383
DQN,35,final,141,3141,0.38634467840194703,3.0,3.0,0.9490132927894592,0.0004637285698360453
DQN,35,final,142,3142,0.06800360202789307,3.0,3.0,0.872799813747406,0.0005082354376402994
DQN,35,final,143,3143,0.09000000000000001,1.0,1.0,0.18481537699699402,0.0003639056230895221
DQN,35,final,144,3144,0.09000000000000001,1.0,1.0,0.11941087990999222,0.00040855593397282064
DQN,35,final,145,3145,0.09000000000000001,1.0,1.0,0.5106844305992126,0.0005586679326370358
DQN,35,final,146,3146,-0.1640449297428131,7.0,3.0,0.4040253758430481,0.00033188551398260254
DQN,35,final,147,3147,-0.07578276872634886,3.0,3.0,1.0244444608688354,0.0005153065818982819
DQN,35,final,148,3148,0.14735527515411379,2.0,2.0,0.7831130027770996,0.00031499279430136085
DQN,35,final,149,3149,0.31346762895584107,3.0,3.0,0.6426913142204285,0.006401195816579275
DQN,35,final,150,3150,0.14962507963180544,2.0,2.0,0.8277999758720398,0.0006139288598205894
DQN,35,final,151,3151,0.09000000000000001,1.0,1.0,0.30614206194877625,0.0004687390464823693
DQN,35,final,152,3152,0.09000000000000001,1.0,1.0,0.529524564743042,0.00028156815096735954
DQN,35,final,153,3153,0.12785948991775514,2.0,2.0,0.8336361050605774,0.00022087776596890762
DQN,35,final,154,3154,0.09000000000000001,1.0,1.0,0.47437652945518494,0.0004127774154767394
DQN,35,final,155,3155,0.3083817529678345,2.0,2.0,0.6722795367240906,0.000416700670029968
DQN,35,final,156,3156,0.14966716051101686,2.0,2.0,0.802098274230957,0.0003309669264126569
DQN,35,final,157,3157,0.2434837794303894,4.0,4.0,0.6140502095222473,0.000891704188688891
DQN,35,final,158,3158,0.37944711923599245,2.0,2.0,0.5112277269363403,0.0003859010466840118
DQN,35,final,159,3159,0.09000000000000001,1.0,1.0,0.6154481172561646,0.00017354023293592036
DQN,35,final,160,3160,0.36450225830078126,3.0,3.0,0.7638307809829712,0.0003985286651489635
DQN,35,final,161,3161,0.20256076931953432,2.0,2.0,0.48113372921943665,0.0003201199651812203
DQN,35,final,162,3162,0.12519122838974,2.0,2.0,0.6610828638076782,0.0004208421742077917
DQN,35,final,163,3163,0.09000000000000001,1.0,1.0,0.548812210559845,0.00023449299624189734
DQN,35,final,164,3164,-0.54386465549469,10.0,2.0,0.6746816635131836,0.0009023163947858848
DQN,35,final,165,3165,0.02675408840179444,3.0,3.0,0.6967436075210571,0.000420043613606443
DQN,35,final,166,3166,0.15033008337020876,2.0,2.0,0.7239484786987305,0.00023804526426829398
DQN,35,final,167,3167,-0.5947652935981751,10.0,2.0,1.0325005054473877,0.0005550723741180264
DQN,35,final,168,3168,0.18229867696762087,2.0,2.0,0.6114665269851685,0.00032315999851562083
DQN,35,final,169,3169,-0.37800127267837524,10.0,3.0,0.690966784954071,0.0005369894788600504
DQN,35,final,170,3170,0.2981692123413086,2.0,2.0,1.039852499961853,0.0003082524926867336
DQN,35,final,171,3171,0.1069337797164917,3.0,3.0,0.8072693943977356,0.00018598792909566933
DQN,35,final,172,3172,0.09000000000000001,1.0,1.0,0.3323289453983307,0.0004473604785744101
DQN,35,final,173,3173,0.09000000000000001,1.0,1.0,0.4443664848804474,0.0001517042110208422
DQN,35,final,174,3174,-0.30528071165084836,9.0,2.0,0.5106454491615295,0.0005861914445025226
DQN,35,final,175,3175,0.09840233802795412,2.0,2.0,0.7932464480400085,0.00035050239239353687
DQN,35,final,176,3176,0.1290444302558899,2.0,2.0,0.6923679113388062,0.0008286129159387201
DQN,35,final,177,3177,0.1023268246650696,6.0,3.0,0.6690724492073059,0.000469686696305871
DQN,35,final,178,3178,0.16545100688934328,2.0,2.0,0.47239255905151367,0.00025604633992770687
DQN,35,final,179,3179,0.09000000000000001,1.0,1.0,0.4309706687927246,0.00042359341750852764
DQN,35,final,180,3180,0.07405049324035645,3.0,3.0,0.6321009397506714,0.0002677130347971494
DQN,35,final,181,3181,0.09000000000000001,1.0,1.0,0.27241355180740356,0.00024199648760259151
DQN,35,final,182,3182,0.09000000000000001,1.0,1.0,0.3709152638912201,0.00038717908319085836
DQN,35,final,183,3183,0.0434423851966858,2.0,2.0,0.46293124556541443,0.0032575193617958575
DQN,35,final,184,3184,-0.05643417716026304,3.0,3.0,0.42057833075523376,0.0005207246188850453
DQN,35,final,185,3185,0.056240714788436896,3.0,3.0,0.4669753611087799,0.0005935214188260337
DQN,35,final,186,3186,0.09000000000000001,1.0,1.0,0.17514945566654205,0.0004483150551095605
DQN,35,final,187,3187,0.09000000000000001,1.0,1.0,0.5379424691200256,0.0004741848388221115
DQN,35,final,188,3188,0.09000000000000001,1.0,1.0,0.8194250464439392,0.0006339623359963298
DQN,35,final,189,3189,0.09000000000000001,1.0,1.0,0.14977657794952393,0.0003987507661804557
DQN,35,final,190,3190,0.09000000000000001,1.0,1.0,0.27539321780204773,0.0008458450902253389
DQN,35,final,191,3191,-0.06788168907165527,6.0,3.0,0.8487079739570618,0.003948044172526958
DQN,35,final,192,3192,0.09000000000000001,1.0,1.0,0.1842784881591797,0.0005670558894053102
DQN,35,final,193,3193,-0.02064041614532469,2.0,2.0,0.5504483580589294,0.0006748788000550121
DQN,35,final,194,3194,0.20317371368408205,2.0,2.0,0.6957629919052124,0.0005447528383228928
DQN,35,final,195,3195,0.09000000000000001,1.0,1.0,0.4935789704322815,0.0005861762911081314
DQN,35,final,196,3196,0.16118879795074464,2.0,2.0,0.3685056269168854,0.013133597210980952
DQN,35,final,197,3197,-0.0791370701789856,7.0,3.0,0.7805067300796509,0.0008862150882902954
DQN,35,final,198,3198,0.09000000000000001,1.0,1.0,0.7483488321304321,0.0005864424747414887
DQN,35,final,199,3199,0.12463903427124025,5.0,4.0,1.1467787027359009,0.001333537243772298
DQN,35,final,200,3200,0.09957225799560548,2.0,2.0,1.089275598526001,0.0006095056887716055
