agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
DQN,55,early,1,1,-0.318548595905304,10.0,6.0,0.8366365432739258,nan
DQN,55,early,2,2,0.09000000000000001,1.0,1.0,0.6715108752250671,nan
DQN,55,early,3,3,0.09000000000000001,1.0,1.0,0.8710407614707947,nan
DQN,55,early,4,4,-0.42356462478637696,10.0,4.0,0.8595256209373474,nan
DQN,55,early,5,5,0.09000000000000001,1.0,1.0,0.5964369773864746,nan
DQN,55,early,6,6,-0.2812743091583252,4.0,3.0,0.7814075350761414,nan
DQN,55,early,7,7,-0.1460528254508972,5.0,3.0,0.7791595458984375,nan
DQN,55,early,8,8,0.21328870177268983,3.0,3.0,0.3120839297771454,nan
DQN,55,early,9,9,0.0701624917984009,2.0,2.0,0.47242847084999084,nan
DQN,55,early,10,10,0.09000000000000001,1.0,1.0,0.3111875355243683,nan
DQN,55,early,11,11,-0.23975722789764403,5.0,3.0,0.8101200461387634,nan
DQN,55,early,12,12,0.07141199171543122,4.0,3.0,0.2381676286458969,nan
DQN,55,early,13,13,-0.1773088824748993,7.0,4.0,0.3599162697792053,nan
DQN,55,early,14,14,0.1447308111190796,7.0,4.0,0.8070415258407593,nan
DQN,55,early,15,15,-0.14386870980262756,7.0,4.0,0.2137352079153061,0.003933362243697047
DQN,55,early,16,16,0.08160454273223877,6.0,4.0,0.4348115921020508,0.0007772121850090722
DQN,55,early,17,17,-0.18399082660675048,4.0,3.0,0.5090578198432922,0.0003567613639461342
DQN,55,early,18,18,0.18045616626739502,7.0,4.0,1.2526257038116455,0.0005390682282658028
DQN,55,early,19,19,0.030211110115051273,3.0,2.0,0.5459983944892883,0.00028932834781395894
DQN,55,early,20,20,0.09000000000000001,1.0,1.0,0.45491716265678406,0.00022836204152554274
DQN,55,early,21,21,-0.23332924127578736,8.0,5.0,0.7172776460647583,0.00016181779483304126
DQN,55,early,22,22,-0.004568924903869634,4.0,3.0,0.6485872268676758,0.00012149861504440196
DQN,55,early,23,23,0.01752220273017885,2.0,2.0,0.4289383292198181,0.00012893274833913893
DQN,55,early,24,24,0.01918131828308106,3.0,3.0,1.13056480884552,0.00012665443500736728
DQN,55,early,25,25,0.38066052079200746,2.0,2.0,0.2979508936405182,0.0007968964928295463
DQN,55,early,26,26,-0.17505711793899537,8.0,5.0,0.8130151033401489,0.0002817651093209861
DQN,55,early,27,27,0.09000000000000001,1.0,1.0,0.16884967684745789,0.0002021886029979214
DQN,55,early,28,28,-0.2775983095169067,5.0,3.0,0.8481044769287109,0.0005087240861030295
DQN,55,early,29,29,-0.5158530443906785,10.0,4.0,0.21127386391162872,0.0002918204481829889
DQN,55,early,30,30,0.06554765462875367,4.0,3.0,0.8847343325614929,0.00023238516223500483
DQN,55,early,31,31,-0.01480824321508406,2.0,2.0,0.21108482778072357,0.00019085888925474137
DQN,55,early,32,32,-0.04158596754074097,6.0,3.0,0.5793002843856812,0.00014595570367722152
DQN,55,early,33,33,-0.10432624578475953,6.0,4.0,0.654504120349884,0.00020429250920036188
DQN,55,early,34,34,-0.593544614315033,10.0,4.0,0.6935892105102539,0.00011486513612908311
