agent,seed,phase,evaluation_episode,reward,steps,selected_regions,classification_loss,stopped
DQN,85,early,1,0.09000000000000001,1,1,0.41631847620010376,True
DQN,85,early,2,0.13016988515853883,2,2,0.5160666704177856,True
DQN,85,early,3,0.11889074921607973,2,2,0.24891617894172668,True
DQN,85,early,4,-0.48176192045211796,10,2,0.9332419037818909,False
DQN,85,early,5,0.09000000000000001,1,1,0.16835935413837433,True
DQN,85,early,6,0.27842647552490235,3,3,0.6780349016189575,True
DQN,85,early,7,0.09000000000000001,1,1,0.5513320565223694,True
DQN,85,early,8,-0.026099665164947494,2,2,0.6654123067855835,True
DQN,85,early,9,0.14572407484054567,2,2,0.2940807342529297,True
DQN,85,early,10,0.09317286491394045,2,2,0.5964739918708801,True
DQN,85,early,11,0.19104828119277956,2,2,0.4566030502319336,True
DQN,85,early,12,0.09000000000000001,1,1,0.4438623785972595,True
DQN,85,early,13,-0.03540872812271116,3,3,1.084844946861267,True
DQN,85,early,14,0.09000000000000001,1,1,0.06903040409088135,True
DQN,85,early,15,0.3192658495903015,3,3,0.8538348078727722,True
DQN,85,early,16,0.09000000000000001,1,1,0.5210092663764954,True
DQN,85,early,17,-0.5626404166221619,10,2,0.9448156356811523,False
DQN,85,early,18,0.09000000000000001,1,1,0.2290867269039154,True
DQN,85,early,19,0.025599734783172623,2,2,0.23395489156246185,True
DQN,85,early,20,0.09572023868560792,3,3,0.5593979954719543,True
DQN,85,early,21,0.09000000000000001,1,1,0.7154593467712402,True
DQN,85,early,22,0.1090799140930176,2,2,0.2890360355377197,True
DQN,85,early,23,0.09000000000000001,1,1,0.276904433965683,True
DQN,85,early,24,-0.5719396352767945,10,2,1.2365890741348267,False
DQN,85,early,25,0.24972792267799376,5,5,0.46273794770240784,True
DQN,85,early,26,0.09000000000000001,1,1,0.30112090706825256,True
DQN,85,early,27,0.09000000000000001,1,1,0.3229808807373047,True
DQN,85,early,28,0.14351506710052492,2,2,0.564613938331604,True
DQN,85,early,29,0.09000000000000001,1,1,0.10479550063610077,True
DQN,85,early,30,-0.001992188692092875,3,3,0.5299127697944641,True
DQN,85,early,31,0.09000000000000001,1,1,0.14171449840068817,True
DQN,85,early,32,0.19888945102691652,2,2,0.9433177709579468,True
DQN,85,early,33,0.15865703105926515,2,2,0.8047787547111511,True
DQN,85,early,34,0.19899733543395998,2,2,1.022287368774414,True
DQN,85,early,35,0.18229378938674928,2,2,0.8374906182289124,True
DQN,85,early,36,-0.5536862492561341,10,2,0.8183082938194275,False
DQN,85,early,37,0.09000000000000001,1,1,0.2198733389377594,True
DQN,85,early,38,0.09000000000000001,1,1,0.2248629629611969,True
DQN,85,early,39,0.14888785958290102,2,2,0.2389090359210968,True
DQN,85,early,40,0.09000000000000001,1,1,0.852707028388977,True
DQN,85,early,41,0.022574948072433487,2,2,0.22490134835243225,True
DQN,85,early,42,-0.009429259300231918,2,2,0.734331488609314,True
DQN,85,early,43,-0.0025546681880950772,2,2,0.47319167852401733,True
DQN,85,early,44,0.13347400903701784,2,2,0.31108883023262024,True
DQN,85,early,45,-0.5175325870513916,10,3,1.1245566606521606,False
DQN,85,early,46,0.09000000000000001,1,1,0.44749507308006287,True
DQN,85,early,47,0.4408773946762085,2,2,1.2591911554336548,True
DQN,85,early,48,0.09000000000000001,1,1,0.3014766573905945,True
DQN,85,early,49,0.2764025402069092,3,3,0.9195278882980347,True
DQN,85,early,50,-0.4904633045196533,10,2,0.5357593894004822,False
DQN,85,early,51,0.09000000000000001,1,1,0.8059292435646057,True
DQN,85,early,52,0.0325553584098816,2,2,0.3889385759830475,True
DQN,85,early,53,0.11784960508346559,2,2,0.9360974431037903,True
DQN,85,early,54,0.09000000000000001,1,1,0.3910906910896301,True
DQN,85,early,55,0.18402469873428345,3,3,0.5135269165039062,True
DQN,85,early,56,0.09000000000000001,1,1,0.27139753103256226,True
DQN,85,early,57,0.09000000000000001,1,1,0.5617075562477112,True
DQN,85,early,58,0.09000000000000001,1,1,1.1328858137130737,True
DQN,85,early,59,0.09000000000000001,1,1,0.3049168586730957,True
DQN,85,early,60,0.09000000000000001,1,1,0.5095173716545105,True
DQN,85,early,61,-0.011290712356567367,2,2,0.7503043413162231,True
DQN,85,early,62,0.09000000000000001,1,1,0.17616091668605804,True
DQN,85,early,63,0.09000000000000001,1,1,0.14986610412597656,True
DQN,85,early,64,0.09000000000000001,1,1,0.7498103976249695,True
DQN,85,early,65,0.09000000000000001,1,1,0.06701692193746567,True
DQN,85,early,66,0.03438832044601441,2,2,0.7853400111198425,True
DQN,85,early,67,0.04561846137046815,2,2,0.3613142669200897,True
DQN,85,early,68,0.09571061462163927,2,2,0.12354526668787003,True
DQN,85,early,69,0.10448564767837526,2,2,0.6530159115791321,True
DQN,85,early,70,0.08331175327301027,2,2,0.526495635509491,True
DQN,85,early,71,0.09000000000000001,1,1,0.5422629117965698,True
DQN,85,early,72,0.09000000000000001,1,1,0.5336876511573792,True
DQN,85,early,73,0.16432489633560182,2,2,0.771054208278656,True
DQN,85,early,74,-0.5496166825294495,10,2,0.3929385840892792,False
DQN,85,early,75,0.09000000000000001,1,1,0.13589134812355042,True
DQN,85,early,76,0.09000000000000001,1,1,0.6345394849777222,True
DQN,85,early,77,0.09000000000000001,1,1,0.1979820430278778,True
DQN,85,early,78,0.09000000000000001,1,1,0.5524056553840637,True
DQN,85,early,79,0.09000000000000001,1,1,0.5361928939819336,True
DQN,85,early,80,0.12386404156684877,2,2,0.4106603264808655,True
DQN,85,early,81,0.09000000000000001,1,1,0.190189391374588,True
DQN,85,early,82,0.09000000000000001,1,1,0.3527052700519562,True
DQN,85,early,83,0.20980154156684877,2,2,0.3474745452404022,True
DQN,85,early,84,0.12135216772556306,2,2,0.1511465460062027,True
DQN,85,early,85,0.25358028888702394,2,2,0.9289159774780273,True
DQN,85,early,86,-0.5245772242546082,10,5,0.7647274136543274,False
DQN,85,early,87,0.09000000000000001,1,1,0.7101481556892395,True
DQN,85,early,88,0.013916568756103531,2,2,1.145518183708191,True
DQN,85,early,89,0.2677647042274475,2,2,0.9145892262458801,True
DQN,85,early,90,0.0931233334541321,2,2,0.4347028434276581,True
DQN,85,early,91,0.12908412694931032,2,2,0.3002755343914032,True
DQN,85,early,92,0.09000000000000001,1,1,1.0466513633728027,True
DQN,85,early,93,-0.3153572678565979,10,3,0.7216430306434631,False
DQN,85,early,94,0.2160891366004944,3,3,0.6677932739257812,True
DQN,85,early,95,0.22035581588745118,3,3,0.6491104960441589,True
DQN,85,early,96,0.33466691732406617,4,3,0.5274829268455505,True
DQN,85,early,97,0.021565980911254903,3,3,0.8836683630943298,True
DQN,85,early,98,0.12432426929473878,3,3,0.8608530759811401,True
