agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
DQN,85,mid,1,1001,0.002484219074249283,2.0,2.0,0.4123494029045105,0.0007305543404072523
DQN,85,mid,2,1002,0.14351190805435182,2.0,2.0,0.5109788179397583,0.0004888682160526514
DQN,85,mid,3,1003,0.014717178344726578,2.0,2.0,0.6027579307556152,0.0005063260032329708
DQN,85,mid,4,1004,0.4611731266975403,4.0,3.0,0.9800650477409363,0.0005644968623528257
DQN,85,mid,5,1005,0.10051388263702393,3.0,3.0,1.0526295900344849,0.00039105282242720324
DQN,85,mid,6,1006,-0.015373306870460499,4.0,4.0,0.16191048920154572,0.0013970439140393864
DQN,85,mid,7,1007,0.06167240619659425,2.0,2.0,1.1393165588378906,0.001376527623506263
DQN,85,mid,8,1008,0.11889834880828859,2.0,2.0,0.8677311539649963,0.0005916904774494469
DQN,85,mid,9,1009,0.013205353617668156,3.0,2.0,0.1680135726928711,0.0004759853375920405
DQN,85,mid,10,1010,0.2393398952484131,3.0,3.0,1.160064935684204,0.0012597078263449173
DQN,85,mid,11,1011,0.08651080906391145,2.0,2.0,0.16696617007255554,0.0004993411130271852
DQN,85,mid,12,1012,0.17080910682678224,2.0,2.0,0.5027971863746643,0.0012607709795702249
DQN,85,mid,13,1013,0.011733193397521977,3.0,2.0,1.1713693141937256,0.0007379097902836899
DQN,85,mid,14,1014,0.09000000000000001,1.0,1.0,0.4251551926136017,0.006384091917425394
DQN,85,mid,15,1015,0.19952304840087892,2.0,2.0,0.9687175750732422,0.0021698512136936188
DQN,85,mid,16,1016,-0.3064218270778656,8.0,3.0,0.42561545968055725,0.000857132352393819
DQN,85,mid,17,1017,-0.005318741798400847,8.0,3.0,0.8563909530639648,0.0007465834023605566
DQN,85,mid,18,1018,-0.0013858580589294345,4.0,3.0,0.6514343619346619,0.0006777838862035424
DQN,85,mid,19,1019,0.025512971431016926,3.0,2.0,0.05458894744515419,0.0005904390515449146
DQN,85,mid,20,1020,0.04531938791275025,4.0,3.0,0.7465077638626099,0.00060839339857921
DQN,85,mid,21,1021,0.09000000000000001,1.0,1.0,0.6584364771842957,0.0005395505577325821
DQN,85,mid,22,1022,0.10640874683856966,2.0,2.0,0.2300914078950882,0.0012525392812676728
DQN,85,mid,23,1023,-0.006592385768890374,3.0,3.0,0.7185178399085999,0.0005002286343369633
DQN,85,mid,24,1024,0.07781184434890749,3.0,3.0,0.8223214149475098,0.0031447572400793433
DQN,85,mid,25,1025,-0.01300858497619628,4.0,3.0,0.4825531542301178,0.0008965902379713953
DQN,85,mid,26,1026,-0.05432687520980835,2.0,2.0,0.8852031826972961,0.0009704694675747305
DQN,85,mid,27,1027,0.03586107492446897,10.0,5.0,0.9203582406044006,0.0006927665730472654
DQN,85,mid,28,1028,0.09000000000000001,1.0,1.0,0.4765510559082031,0.0004374208801891655
DQN,85,mid,29,1029,0.0535981933772564,2.0,2.0,0.08428473025560379,0.0004450407577678561
DQN,85,mid,30,1030,0.09000000000000001,1.0,1.0,0.241547629237175,0.0005551354843191803
DQN,85,mid,31,1031,0.09000000000000001,1.0,1.0,0.3637407720088959,0.00046955401194281876
DQN,85,mid,32,1032,0.10148437500000002,2.0,2.0,0.5620356202125549,0.0005219206941546872
DQN,85,mid,33,1033,-0.3808188438415528,10.0,5.0,0.6880236268043518,0.0017405623337253928
DQN,85,mid,34,1034,0.2306115794181824,2.0,2.0,0.6153214573860168,0.00043318649113643914
DQN,85,mid,35,1035,-0.0543238353729248,2.0,2.0,0.505210816860199,0.005285119521431625
DQN,85,mid,36,1036,0.15799315452575685,2.0,2.0,0.706473171710968,0.0006071509851608425
DQN,85,mid,37,1037,0.017587412595748905,3.0,2.0,0.13020455837249756,0.001504726872857039
DQN,85,mid,38,1038,-0.052241554260253883,4.0,3.0,0.7683335542678833,0.0022007516090525314
DQN,85,mid,39,1039,0.2773288369178772,5.0,5.0,0.95721834897995,0.0009546817222144455
DQN,85,mid,40,1040,0.12767730623483659,3.0,3.0,0.11242560297250748,0.0010231319271648924
DQN,85,mid,41,1041,0.42374582767486574,2.0,2.0,0.7070754766464233,0.0004229167680023238
DQN,85,mid,42,1042,0.09000000000000001,1.0,1.0,0.7651076316833496,0.0004464122757781297
DQN,85,mid,43,1043,0.09000000000000001,1.0,1.0,0.1799737960100174,0.0005879453965462744
DQN,85,mid,44,1044,0.09000000000000001,1.0,1.0,0.8794978857040405,0.0002707001694943756
DQN,85,mid,45,1045,0.09000000000000001,1.0,1.0,0.6682772040367126,0.0004525200929492712
DQN,85,mid,46,1046,-0.21889255762100218,7.0,3.0,0.6304761171340942,0.0005253063656190145
DQN,85,mid,47,1047,0.18568451881408693,2.0,2.0,0.6756053566932678,0.0004444232035893947
DQN,85,mid,48,1048,-0.027100231051445003,3.0,2.0,0.24049660563468933,0.0005563217176434895
DQN,85,mid,49,1049,0.09000000000000001,1.0,1.0,0.3212803304195404,0.0002028821618296206
DQN,85,mid,50,1050,0.1300563681125641,2.0,2.0,0.18231366574764252,0.0028955989255337045
DQN,85,mid,51,1051,-0.34825548410415647,8.0,2.0,0.7466469407081604,0.0007461685891030356
DQN,85,mid,52,1052,0.09000000000000001,1.0,1.0,0.3276015818119049,0.0007413387065753341
DQN,85,mid,53,1053,0.09000000000000001,1.0,1.0,0.505592942237854,0.001170119154267013
DQN,85,mid,54,1054,-0.02110944986343384,5.0,3.0,0.8609294295310974,0.0014452822419116274
DQN,85,mid,55,1055,-0.08642536997795104,5.0,2.0,0.18179473280906677,0.0006195727677550167
DQN,85,mid,56,1056,0.10268256247043611,2.0,2.0,0.18517696857452393,0.00044071790762245655
DQN,85,mid,57,1057,0.16497759699821474,2.0,2.0,0.46011748909950256,0.0011682044132612646
DQN,85,mid,58,1058,-0.1019409078359604,3.0,3.0,0.31980565190315247,0.0008078743606650581
DQN,85,mid,59,1059,0.16426900744438172,3.0,3.0,0.3233102262020111,0.00037151097785681486
DQN,85,mid,60,1060,0.09000000000000001,1.0,1.0,0.10019894689321518,0.030314460396766663
DQN,85,mid,61,1061,0.17676223039627076,3.0,3.0,0.7563759088516235,0.002143305134571468
DQN,85,mid,62,1062,0.15499593496322633,2.0,2.0,0.6900339722633362,0.001526127860415727
DQN,85,mid,63,1063,0.07659239292144776,3.0,3.0,0.9898318648338318,0.0010122490542319913
DQN,85,mid,64,1064,0.09000000000000001,1.0,1.0,0.26459231972694397,0.0020537800155580044
DQN,85,mid,65,1065,0.08917982339859008,4.0,3.0,0.6576642990112305,0.001326433732174337
