agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
DiscreteSAC,55,mid,1,1001,-0.38542749881744387,10.0,5.0,0.5776498913764954,-1.254914438724518
DiscreteSAC,55,mid,2,1002,-0.5965933918952944,10.0,4.0,0.6481936573982239,-1.309128475189209
DiscreteSAC,55,mid,3,1003,-0.46451687812805176,10.0,3.0,0.8475170731544495,-1.2621460795402526
DiscreteSAC,55,mid,4,1004,-0.38863112926483157,10.0,5.0,0.5247416496276855,-1.2446550250053405
DiscreteSAC,55,mid,5,1005,-0.10529783844947817,8.0,5.0,0.4580841660499573,-1.27977554500103
DiscreteSAC,55,mid,6,1006,-0.4944821119308472,10.0,4.0,0.2186630517244339,-1.2872458457946778
DiscreteSAC,55,mid,7,1007,-0.4405444383621216,10.0,4.0,0.587451159954071,-1.2569216132164
DiscreteSAC,55,mid,8,1008,-0.42914199233055117,10.0,5.0,0.4758054316043854,-1.3164939284324646
DiscreteSAC,55,mid,9,1009,-0.49792930483818054,10.0,3.0,0.42904967069625854,-1.2793869256973267
DiscreteSAC,55,mid,10,1010,-0.33157435655593875,10.0,6.0,0.8242979049682617,-1.2823581457138062
DiscreteSAC,55,mid,11,1011,-0.3131596088409424,10.0,5.0,0.7518362402915955,-1.2626917958259583
DiscreteSAC,55,mid,12,1012,-0.5639335930347442,10.0,4.0,0.2971560060977936,-1.2445182085037232
DiscreteSAC,55,mid,13,1013,-0.44886156618595124,10.0,4.0,0.24604322016239166,-1.2552822947502136
DiscreteSAC,55,mid,14,1014,-0.18442774057388306,9.0,5.0,0.7565805315971375,-1.2517667214075725
DiscreteSAC,55,mid,15,1015,-0.04321415662765503,9.0,6.0,0.6189936399459839,-1.2765667703416612
DiscreteSAC,55,mid,16,1016,-0.5448550879955293,10.0,3.0,0.1666499525308609,-1.2763144016265868
DiscreteSAC,55,mid,17,1017,-0.08509732484817505,10.0,6.0,0.8649997115135193,-1.3029118776321411
DiscreteSAC,55,mid,18,1018,-0.40661734342575073,10.0,3.0,0.6980064511299133,-1.3074145913124084
DiscreteSAC,55,mid,19,1019,-0.21704545021057128,10.0,5.0,1.0316022634506226,-1.2779960632324219
DiscreteSAC,55,mid,20,1020,-0.3879128932952881,10.0,5.0,0.6012030839920044,-1.2826692938804627
DiscreteSAC,55,mid,21,1021,-0.28462970256805425,10.0,8.0,0.626589834690094,-1.2962303638458252
DiscreteSAC,55,mid,22,1022,-0.47139711380004884,10.0,4.0,0.6571553945541382,-1.31398184299469
DiscreteSAC,55,mid,23,1023,-0.2859645891189575,8.0,3.0,0.5641541481018066,-1.2646376937627792
DiscreteSAC,55,mid,24,1024,-0.16778279542922978,10.0,4.0,0.5229066610336304,-1.2839599609375
DiscreteSAC,55,mid,25,1025,-0.31278770744800566,8.0,3.0,0.2972296178340912,-1.2956814169883728
DiscreteSAC,55,mid,26,1026,-0.11670401096343996,10.0,5.0,0.774877667427063,-1.250627374649048
DiscreteSAC,55,mid,27,1027,-0.41166312694549567,10.0,4.0,0.9388751983642578,-1.2678317189216615
DiscreteSAC,55,mid,28,1028,-0.1266992712020874,9.0,5.0,0.31768542528152466,-1.2445742289225261
DiscreteSAC,55,mid,29,1029,-0.7266782820224762,10.0,3.0,0.38693952560424805,-1.2576495289802552
DiscreteSAC,55,mid,30,1030,-0.2122204542160034,10.0,5.0,0.6913433074951172,-1.2185319304466247
DiscreteSAC,55,mid,31,1031,-0.20366189479827884,10.0,6.0,0.49158769845962524,-1.2817919492721557
DiscreteSAC,55,mid,32,1032,-0.24789067149162292,9.0,4.0,0.26141566038131714,-1.2950249115626018
DiscreteSAC,55,mid,33,1033,-0.3291123628616333,10.0,4.0,0.7195470929145813,-1.2167500138282776
DiscreteSAC,55,mid,34,1034,-0.3384535551071167,10.0,5.0,0.8282715678215027,-1.2400903940200805
DiscreteSAC,55,mid,35,1035,-0.11919506788253785,10.0,5.0,0.8374479413032532,-1.263081693649292
DiscreteSAC,55,mid,36,1036,-0.2751415729522705,10.0,6.0,0.7118242383003235,-1.2425730109214783
DiscreteSAC,55,mid,37,1037,-0.3997142732143402,10.0,4.0,0.28512606024742126,-1.302685844898224
DiscreteSAC,55,mid,38,1038,-0.1952421188354492,10.0,4.0,0.8505367040634155,-1.2963687181472778
DiscreteSAC,55,mid,39,1039,-0.432321172952652,10.0,4.0,0.4557046890258789,-1.2931798458099366
DiscreteSAC,55,mid,40,1040,-0.35516152083873753,10.0,7.0,0.29836735129356384,-1.2924341320991517
DiscreteSAC,55,mid,41,1041,-0.568035912513733,10.0,4.0,0.6937257647514343,-1.2429695129394531
DiscreteSAC,55,mid,42,1042,-0.17113728761672975,9.0,6.0,0.27601680159568787,-1.2454402844111125
DiscreteSAC,55,mid,43,1043,-0.4534977912902832,10.0,5.0,0.7590746879577637,-1.2887343049049378
DiscreteSAC,55,mid,44,1044,-0.6387709379196168,10.0,3.0,1.3071290254592896,-1.2453784942626953
DiscreteSAC,55,mid,45,1045,-0.4927672863006592,10.0,4.0,1.239914059638977,-1.2445019245147706
DiscreteSAC,55,mid,46,1046,-0.3164111614227295,10.0,5.0,0.7621138691902161,-1.2420498251914978
DiscreteSAC,55,mid,47,1047,-0.2646558880805969,10.0,5.0,0.6192573308944702,-1.2316593408584595
DiscreteSAC,55,mid,48,1048,-0.3226382666826248,9.0,3.0,0.27161532640457153,-1.2419920497470431
DiscreteSAC,55,mid,49,1049,-0.3466017246246338,10.0,3.0,0.7734578251838684,-1.2025654435157775
DiscreteSAC,55,mid,50,1050,-0.18000287294387818,8.0,5.0,0.14865358173847198,-1.2649042308330536
DiscreteSAC,55,mid,51,1051,-0.4669690549373627,10.0,4.0,0.29945632815361023,-1.2163050651550293
DiscreteSAC,55,mid,52,1052,-0.19234039783477785,10.0,5.0,0.8387165069580078,-1.2454971075057983
DiscreteSAC,55,mid,53,1053,-0.33605453968048093,10.0,6.0,0.9875617027282715,-1.235712480545044
DiscreteSAC,55,mid,54,1054,-0.3258782267570496,10.0,5.0,0.8296192288398743,-1.2460610032081605
DiscreteSAC,55,mid,55,1055,-0.05827221870422365,10.0,6.0,1.089892029762268,-1.2683244347572327
DiscreteSAC,55,mid,56,1056,-0.7140606492757798,10.0,3.0,0.4128554165363312,-1.2672595858573914
DiscreteSAC,55,mid,57,1057,-0.521006965637207,10.0,5.0,1.1510632038116455,-1.265685248374939
DiscreteSAC,55,mid,58,1058,-0.3311785995960236,10.0,5.0,0.4751555025577545,-1.2882386565208435
DiscreteSAC,55,mid,59,1059,-0.5730164289474489,10.0,5.0,0.3926198184490204,-1.2353235602378845
DiscreteSAC,55,mid,60,1060,-0.06915058135986328,9.0,6.0,0.41637086868286133,-1.2448050843344793
DiscreteSAC,55,mid,61,1061,-0.3559840440750122,10.0,4.0,1.0321784019470215,-1.2098575472831725
DiscreteSAC,55,mid,62,1062,-0.3709033250808716,10.0,4.0,0.8834839463233948,-1.2638653993606568
DiscreteSAC,55,mid,63,1063,-0.3703848958015442,10.0,5.0,0.5804687738418579,-1.27153981924057
DiscreteSAC,55,mid,64,1064,-0.19141206741333006,10.0,6.0,0.8888365030288696,-1.261866557598114
DiscreteSAC,55,mid,65,1065,-0.48640305995941163,10.0,4.0,0.6132442355155945,-1.2737175703048706
DiscreteSAC,55,mid,66,1066,-0.3090240001678467,10.0,5.0,0.7115238904953003,-1.2049667716026307
