agent,seed,phase,evaluation_episode,reward,steps,selected_regions,classification_loss,stopped
DiscreteSAC,75,early,1,-0.5881411314010621,10,2,0.6442969441413879,False
DiscreteSAC,75,early,2,-0.5694919109344483,10,2,0.28420665860176086,False
DiscreteSAC,75,early,3,-0.5360936999320984,10,2,0.8033233880996704,False
DiscreteSAC,75,early,4,-0.5073780298233033,10,2,0.7960795760154724,False
DiscreteSAC,75,early,5,-0.5231334447860718,10,2,0.573447048664093,False
DiscreteSAC,75,early,6,-0.4293848156929016,10,2,0.8566957712173462,False
DiscreteSAC,75,early,7,-0.6446513116359712,10,2,0.35443681478500366,False
DiscreteSAC,75,early,8,-0.26423488855361943,10,2,0.6698981523513794,False
DiscreteSAC,75,early,9,-0.5300184488296509,10,3,0.830701470375061,False
DiscreteSAC,75,early,10,-0.3599554777145386,10,2,0.6158886551856995,False
DiscreteSAC,75,early,11,-0.3049937963485718,10,2,0.6012449860572815,False
DiscreteSAC,75,early,12,-0.4245863437652588,10,2,1.0529314279556274,False
DiscreteSAC,75,early,13,-0.5616158723831177,10,2,0.4616761803627014,False
DiscreteSAC,75,early,14,-0.4508299231529236,10,3,0.5123590230941772,False
DiscreteSAC,75,early,15,-0.6590932428836823,10,4,0.5697460770606995,False
DiscreteSAC,75,early,16,-0.6070372939109803,10,2,0.33840587735176086,False
DiscreteSAC,75,early,17,-0.4535300016403198,10,2,0.9148129224777222,False
DiscreteSAC,75,early,18,-0.4721619009971619,10,4,0.6049947142601013,False
DiscreteSAC,75,early,19,-0.48733811378479003,10,2,0.6011207699775696,False
DiscreteSAC,75,early,20,-0.6446587920188905,10,2,0.6132319569587708,False
DiscreteSAC,75,early,21,-0.4591174602508545,10,2,0.5993601083755493,False
DiscreteSAC,75,early,22,-0.5133786082267762,10,2,0.8963256478309631,False
DiscreteSAC,75,early,23,-0.5493009418249131,10,2,0.22239316999912262,False
DiscreteSAC,75,early,24,-0.5613688185811043,10,2,0.11349380016326904,False
DiscreteSAC,75,early,25,-0.24370836019515993,10,2,0.8280907273292542,False
