agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
DiscreteSAC,85,early,1,1,0.09000000000000001,1.0,1.0,0.2531490623950958,nan
DiscreteSAC,85,early,2,2,-0.5519036293029784,10.0,5.0,0.4788571000099182,nan
DiscreteSAC,85,early,3,3,-0.510452950000763,10.0,5.0,0.6848828196525574,nan
DiscreteSAC,85,early,4,4,0.09000000000000001,1.0,1.0,1.0701515674591064,nan
DiscreteSAC,85,early,5,5,0.04453292667865754,2.0,2.0,0.20485083758831024,nan
DiscreteSAC,85,early,6,6,-0.031312564611434945,6.0,5.0,0.4876376986503601,nan
DiscreteSAC,85,early,7,7,0.05736682534217835,3.0,3.0,0.2893182635307312,nan
DiscreteSAC,85,early,8,8,-0.33967777490615847,10.0,5.0,0.830527663230896,nan
DiscreteSAC,85,early,9,9,-0.32939757108688356,10.0,4.0,0.72740638256073,nan
DiscreteSAC,85,early,10,10,0.09000000000000001,1.0,1.0,0.867721438407898,nan
DiscreteSAC,85,early,11,11,-0.0781139600276947,8.0,6.0,0.338836669921875,nan
DiscreteSAC,85,early,12,12,-0.0880871319770813,4.0,3.0,0.6889528036117554,-0.4664437770843506
DiscreteSAC,85,early,13,13,-0.22038342595100402,9.0,4.0,0.26712796092033386,-0.49074846506118774
DiscreteSAC,85,early,14,14,0.12227519035339357,2.0,2.0,1.0520943403244019,-0.5248133540153503
DiscreteSAC,85,early,15,15,0.03775187253952027,3.0,2.0,0.7309215664863586,-0.5204788645108541
DiscreteSAC,85,early,16,16,-0.10194616317749021,10.0,4.0,1.1658505201339722,-0.5471617937088012
DiscreteSAC,85,early,17,17,-0.022450340986251816,2.0,2.0,0.47427526116371155,-0.5526966452598572
DiscreteSAC,85,early,18,18,-0.020099635124206525,7.0,4.0,1.0918619632720947,-0.5685303466660636
DiscreteSAC,85,early,19,19,0.22734970569610596,3.0,3.0,0.8559876680374146,-0.5760175387064616
DiscreteSAC,85,early,20,20,-0.4054564476013184,10.0,5.0,0.621933102607727,-0.5900583565235138
DiscreteSAC,85,early,21,21,-0.09175115108489991,8.0,4.0,0.7741844058036804,-0.5941375866532326
DiscreteSAC,85,early,22,22,-0.22483546733856202,10.0,4.0,0.7696819305419922,-0.6048152625560761
DiscreteSAC,85,early,23,23,-0.12616441965103148,7.0,3.0,0.7577710151672363,-0.6095758676528931
DiscreteSAC,85,early,24,24,-0.383236014842987,10.0,5.0,0.2686249315738678,-0.6232843518257141
DiscreteSAC,85,early,25,25,-0.11655114412307739,7.0,3.0,0.7599442601203918,-0.6327562502452305
DiscreteSAC,85,early,26,26,-0.17643675804138187,10.0,6.0,0.5259765982627869,-0.630002361536026
DiscreteSAC,85,early,27,27,-0.04262650847434997,4.0,2.0,0.33516359329223633,-0.6427154541015625
DiscreteSAC,85,early,28,28,-0.4246755182743072,10.0,5.0,0.48789945244789124,-0.6551876664161682
DiscreteSAC,85,early,29,29,-0.4366412544250488,9.0,3.0,0.8042312860488892,-0.6575566066635979
DiscreteSAC,85,early,30,30,-0.2859502190351486,9.0,4.0,0.23904640972614288,-0.6630610956086053
DiscreteSAC,85,early,31,31,-0.41820491552352906,10.0,4.0,0.44740527868270874,-0.6730089485645294
DiscreteSAC,85,early,32,32,-0.24809517502784728,9.0,4.0,0.29332542419433594,-0.670409639676412
DiscreteSAC,85,early,33,33,-0.3159089803695679,10.0,4.0,0.9775242805480957,-0.6827316820621491
DiscreteSAC,85,early,34,34,-0.5660964667797089,10.0,4.0,0.29851648211479187,-0.693518602848053
DiscreteSAC,85,early,35,35,-0.04257041215896605,5.0,4.0,0.7603691816329956,-0.6859325647354126
DiscreteSAC,85,early,36,36,-0.1707163405418396,7.0,4.0,0.5994635224342346,-0.7001782570566449
