agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
PPO,15,final,1,3001,0.09000000000000001,1.0,1.0,0.43776795268058777,-0.00041092098399531096
PPO,15,final,2,3002,0.09000000000000001,1.0,1.0,0.13089385628700256,1.686089899521903e-05
PPO,15,final,3,3003,0.05411638498306275,2.0,2.0,0.7162764668464661,-0.05991247366182506
PPO,15,final,4,3004,0.09000000000000001,1.0,1.0,1.0554002523422241,-0.005114657571539283
PPO,15,final,5,3005,0.09000000000000001,1.0,1.0,0.8728596568107605,-0.0008189960644813254
PPO,15,final,6,3006,0.16015239238739015,2.0,2.0,1.1712350845336914,-0.027151705930009484
PPO,15,final,7,3007,0.09000000000000001,1.0,1.0,0.8165369033813477,-0.00018124251437257044
PPO,15,final,8,3008,0.09000000000000001,1.0,1.0,0.5489438772201538,-0.0005135396131663583
PPO,15,final,9,3009,0.09000000000000001,1.0,1.0,1.0364629030227661,-0.006253738421946764
PPO,15,final,10,3010,0.09000000000000001,1.0,1.0,0.3479210436344147,-0.006066785426810384
PPO,15,final,11,3011,0.09000000000000001,1.0,1.0,0.33690983057022095,-0.0002958299301099032
PPO,15,final,12,3012,0.09000000000000001,1.0,1.0,0.5117402076721191,-0.0006871390069136396
PPO,15,final,13,3013,0.09000000000000001,1.0,1.0,0.6294008493423462,-0.0030449205660261214
PPO,15,final,14,3014,0.09000000000000001,1.0,1.0,0.8667906522750854,-0.009824885288253427
PPO,15,final,15,3015,0.09000000000000001,1.0,1.0,0.6962382197380066,-0.0012293840700294822
PPO,15,final,16,3016,0.08473403930664064,2.0,2.0,0.4800574481487274,-0.06306813162518665
PPO,15,final,17,3017,0.09000000000000001,1.0,1.0,0.15116877853870392,-0.00035222315636929125
PPO,15,final,18,3018,0.09000000000000001,1.0,1.0,0.2674606144428253,-1.8333119896851713e-05
PPO,15,final,19,3019,0.09000000000000001,1.0,1.0,0.4816434681415558,-0.00017868254508357495
PPO,15,final,20,3020,0.09000000000000001,1.0,1.0,0.39330461621284485,-8.598680506111123e-05
PPO,15,final,21,3021,0.09000000000000001,1.0,1.0,0.15850932896137238,-0.00019803510440397076
PPO,15,final,22,3022,0.09000000000000001,1.0,1.0,0.7406768202781677,-0.0002005506685236469
PPO,15,final,23,3023,0.09000000000000001,1.0,1.0,0.5072745084762573,-3.0072962545091286e-05
PPO,15,final,24,3024,0.14215816736221315,2.0,2.0,0.9611325860023499,-0.057400177349336445
PPO,15,final,25,3025,0.09000000000000001,1.0,1.0,0.8929522633552551,-0.0020617188420146704
PPO,15,final,26,3026,0.09000000000000001,1.0,1.0,0.6401399374008179,-0.0001530128029116895
PPO,15,final,27,3027,0.09000000000000001,1.0,1.0,0.08871586620807648,-8.270321387726653e-07
PPO,15,final,28,3028,0.09000000000000001,1.0,1.0,0.5974868535995483,-0.0017012522148434073
PPO,15,final,29,3029,0.09000000000000001,1.0,1.0,0.8518287539482117,-0.00130692491075024
PPO,15,final,30,3030,0.09000000000000001,1.0,1.0,0.9035585522651672,-0.0022650097380392253
PPO,15,final,31,3031,0.09000000000000001,1.0,1.0,1.0813041925430298,-0.0030201742192730308
PPO,15,final,32,3032,0.09000000000000001,1.0,1.0,1.059368371963501,-0.0031568165286444128
PPO,15,final,33,3033,0.09000000000000001,1.0,1.0,0.7982926964759827,-0.005348403472453356
PPO,15,final,34,3034,0.09000000000000001,1.0,1.0,0.34447938203811646,-0.00036424897552933544
PPO,15,final,35,3035,0.09000000000000001,1.0,1.0,0.22744551301002502,-0.00013831526302965358
PPO,15,final,36,3036,0.08611525774002077,2.0,2.0,0.8670874834060669,-0.015408927574753761
PPO,15,final,37,3037,0.09000000000000001,1.0,1.0,0.7298672795295715,-0.0021515432745218277
PPO,15,final,38,3038,0.09000000000000001,1.0,1.0,1.2199290990829468,-0.006391736096702516
