agent,seed,phase,evaluation_episode,reward,steps,selected_regions,classification_loss,stopped
PPO,35,early,1,0.009011940956115738,2,2,0.6202049851417542,True
PPO,35,early,2,0.09000000000000001,1,1,0.9742766618728638,True
PPO,35,early,3,0.18208016633987428,2,2,0.9287884831428528,True
PPO,35,early,4,0.05147351503372193,2,2,0.4329240620136261,True
PPO,35,early,5,0.2651344108581543,2,2,1.024444341659546,True
PPO,35,early,6,0.05192716598510743,2,2,0.5675610303878784,True
PPO,35,early,7,0.09000000000000001,1,1,0.6696643233299255,True
PPO,35,early,8,0.09000000000000001,1,1,0.7248706221580505,True
PPO,35,early,9,0.09000000000000001,1,1,0.5208343863487244,True
PPO,35,early,10,-0.5154105305671692,10,2,0.7627509236335754,False
PPO,35,early,11,-0.5171501517295838,10,2,0.7765307426452637,False
PPO,35,early,12,0.012516098022460953,2,2,0.5560073256492615,True
PPO,35,early,13,-0.6162938356399537,10,2,0.6445322036743164,False
PPO,35,early,14,0.09000000000000001,1,1,0.25942662358283997,True
PPO,35,early,15,0.09000000000000001,1,1,0.892614483833313,True
PPO,35,early,16,0.10164325118064882,2,2,0.4046266973018646,True
PPO,35,early,17,0.09000000000000001,1,1,0.21245263516902924,True
PPO,35,early,18,0.09000000000000001,1,1,0.7725704312324524,True
PPO,35,early,19,0.1581410336494446,2,2,0.6812756657600403,True
PPO,35,early,20,-0.38139008283615117,10,2,0.810815155506134,False
PPO,35,early,21,-0.486046302318573,10,2,0.723574161529541,False
PPO,35,early,22,0.09000000000000001,1,1,0.5548315048217773,True
PPO,35,early,23,0.09000000000000001,1,1,0.13393595814704895,True
PPO,35,early,24,0.09000000000000001,1,1,0.844878077507019,True
PPO,35,early,25,-0.40019284486770634,10,2,0.743107259273529,False
PPO,35,early,26,0.09000000000000001,1,1,0.1426001638174057,True
PPO,35,early,27,-0.43015615940093993,10,2,0.9094268083572388,False
PPO,35,early,28,0.2686284351348877,2,2,0.9642313718795776,True
PPO,35,early,29,0.09000000000000001,1,1,0.23980508744716644,True
PPO,35,early,30,0.09000000000000001,1,1,0.3360436260700226,True
PPO,35,early,31,-0.3968294739723206,10,2,0.8772252202033997,False
PPO,35,early,32,0.09000000000000001,1,1,0.23511777818202972,True
PPO,35,early,33,0.09000000000000001,1,1,0.9101992845535278,True
PPO,35,early,34,0.13792850255966188,2,2,0.7446550130844116,True
PPO,35,early,35,-0.519079613685608,10,2,0.9557045102119446,False
PPO,35,early,36,-0.3290124416351319,10,2,0.8018398284912109,False
PPO,35,early,37,0.09000000000000001,1,1,0.3443909287452698,True
PPO,35,early,38,0.02587387144565584,2,2,0.26290926337242126,True
PPO,35,early,39,-0.5815431356430054,10,2,1.2892128229141235,False
PPO,35,early,40,0.09000000000000001,1,1,0.2807721197605133,True
PPO,35,early,41,0.09000000000000001,1,1,0.37939220666885376,True
PPO,35,early,42,0.09000000000000001,1,1,0.3558959364891052,True
