agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
PPO,45,early,1,1,0.015685607194900517,3.0,2.0,0.4569261074066162,-0.1462902850471437
PPO,45,early,2,2,0.02261031866073608,5.0,3.0,0.6836580634117126,-0.1262690401636064
PPO,45,early,3,3,-0.003290758132934557,6.0,3.0,0.7701226472854614,-0.08641590271145105
PPO,45,early,4,4,0.09000000000000001,1.0,1.0,0.37111493945121765,-0.013332538772374392
PPO,45,early,5,5,0.09000000000000001,1.0,1.0,0.43607425689697266,-0.012276503024622798
PPO,45,early,6,6,-0.023420165777206417,3.0,2.0,0.3527553975582123,-0.120375020429492
PPO,45,early,7,7,0.09000000000000001,1.0,1.0,0.41569429636001587,-0.00949942332226783
PPO,45,early,8,8,-0.19632153511047362,5.0,3.0,0.6162201762199402,-0.05007821600884199
PPO,45,early,9,9,0.20331438064575197,2.0,2.0,0.8518456220626831,-0.07282856572419405
PPO,45,early,10,10,0.09000000000000001,1.0,1.0,0.08398986607789993,-0.0053890058770775795
PPO,45,early,11,11,0.09000000000000001,1.0,1.0,0.9617557525634766,-0.011664804769679904
PPO,45,early,12,12,-0.11137733697891235,9.0,3.0,0.8106361627578735,-0.034365282859653234
PPO,45,early,13,13,0.16304411172866823,2.0,2.0,0.5653071999549866,-0.07626690878532827
PPO,45,early,14,14,0.09000000000000001,1.0,1.0,0.9138709902763367,-0.002364409388974309
PPO,45,early,15,15,-0.049097344875335694,6.0,3.0,0.5874207615852356,-0.05814533960074186
PPO,45,early,16,16,-0.15494871735572813,5.0,2.0,0.4396413266658783,-0.07509476877748966
PPO,45,early,17,17,0.0548476552963257,4.0,4.0,0.39941856265068054,-0.0865629066247493
PPO,45,early,18,18,0.06456639289855957,3.0,2.0,0.5384214520454407,-0.03905390202999115
PPO,45,early,19,19,0.09000000000000001,1.0,1.0,0.12442371994256973,-0.01533499313518405
PPO,45,early,20,20,-0.02869837760925291,3.0,3.0,0.2643108069896698,-0.10305742500349879
PPO,45,early,21,21,0.09000000000000001,1.0,1.0,0.8824037313461304,-0.01310089835897088
PPO,45,early,22,22,0.09000000000000001,1.0,1.0,0.3276576101779938,-0.013409987790510058
