agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
PPO,55,mid,1,1001,0.09000000000000001,1.0,1.0,0.5922223925590515,-0.01229938818141818
PPO,55,mid,2,1002,0.09000000000000001,1.0,1.0,0.5016002655029297,-0.0031348319025710225
PPO,55,mid,3,1003,0.09000000000000001,1.0,1.0,0.8830001950263977,-0.013677123468369246
PPO,55,mid,4,1004,0.12249625444412232,3.0,3.0,0.4836142659187317,-0.06485362513922155
PPO,55,mid,5,1005,0.09000000000000001,1.0,1.0,0.4827863276004791,-0.013372018467634916
PPO,55,mid,6,1006,0.056084426045417794,2.0,2.0,0.19809651374816895,-0.03893093904480338
PPO,55,mid,7,1007,0.09592957973480226,2.0,2.0,0.5809771418571472,-0.0723659498617053
PPO,55,mid,8,1008,0.09000000000000001,1.0,1.0,0.44666343927383423,-0.013752673054113984
PPO,55,mid,9,1009,-0.05249224901199341,5.0,3.0,0.4336126148700714,-0.01663766975980252
PPO,55,mid,10,1010,0.09000000000000001,1.0,1.0,0.842723548412323,-0.014650543918833137
PPO,55,mid,11,1011,0.1463942098617554,2.0,2.0,0.7722824215888977,-0.05880770552903414
PPO,55,mid,12,1012,0.09000000000000001,1.0,1.0,0.18322241306304932,-0.01214310503564775
PPO,55,mid,13,1013,0.10118538320064546,2.0,2.0,0.22599627077579498,-0.09861597022973001
PPO,55,mid,14,1014,0.10162122726440431,2.0,2.0,0.7405315637588501,-0.10343402158468962
PPO,55,mid,15,1015,-0.39618141651153566,10.0,4.0,0.6619608998298645,0.01253628614358604
PPO,55,mid,16,1016,0.09000000000000001,1.0,1.0,0.12179486453533173,-0.012924896785989404
PPO,55,mid,17,1017,-0.23997571468353274,10.0,5.0,0.819878101348877,0.02078467351384461
PPO,55,mid,18,1018,-0.09462766170501709,7.0,3.0,0.7160167694091797,-0.04489461297634989
PPO,55,mid,19,1019,0.27438896656036377,4.0,4.0,1.0001678466796875,-0.026516000274568796
PPO,55,mid,20,1020,-0.07956134080886841,5.0,3.0,0.6428515315055847,-0.020178460283204913
PPO,55,mid,21,1021,-0.06596475124359129,3.0,3.0,0.7279248833656311,-0.061295516323298216
PPO,55,mid,22,1022,-0.22709964990615844,8.0,4.0,0.6828579306602478,-0.03855257318355143
PPO,55,mid,23,1023,0.01734723329544069,2.0,2.0,0.5708423256874084,-0.12231929018162191
PPO,55,mid,24,1024,0.09000000000000001,1.0,1.0,0.8051238656044006,-0.011104606790468097
PPO,55,mid,25,1025,0.09000000000000001,1.0,1.0,0.2144419103860855,-0.00841529038734734
PPO,55,mid,26,1026,-0.054776115417480495,7.0,3.0,0.9429497718811035,-0.042459226096980274
PPO,55,mid,27,1027,0.09000000000000001,1.0,1.0,0.9772120714187622,-0.008852318627759814
PPO,55,mid,28,1028,0.1018716859817505,2.0,2.0,0.35911446809768677,-0.0236539434408769
PPO,55,mid,29,1029,0.09000000000000001,1.0,1.0,0.16026124358177185,-0.007793497992679477
PPO,55,mid,30,1030,0.21754141330718996,2.0,2.0,0.7415814399719238,-0.04535285593010485
PPO,55,mid,31,1031,0.09000000000000001,1.0,1.0,0.6379258036613464,-0.010769068961963058
PPO,55,mid,32,1032,0.09000000000000001,1.0,1.0,0.2535249888896942,-0.011796731036156416
