agent,seed,phase,evaluation_episode,reward,steps,selected_regions,classification_loss,stopped
PPO,65,mid,1,0.09000000000000001,1,1,0.37895292043685913,True
PPO,65,mid,2,0.09000000000000001,1,1,0.8444332480430603,True
PPO,65,mid,3,0.09000000000000001,1,1,0.25177618861198425,True
PPO,65,mid,4,0.09000000000000001,1,1,0.6141330599784851,True
PPO,65,mid,5,0.09000000000000001,1,1,0.5184412002563477,True
PPO,65,mid,6,0.09000000000000001,1,1,0.6161337494850159,True
PPO,65,mid,7,0.09000000000000001,1,1,0.8621687889099121,True
PPO,65,mid,8,0.09000000000000001,1,1,0.7120910882949829,True
PPO,65,mid,9,0.09000000000000001,1,1,0.1491706371307373,True
PPO,65,mid,10,0.09000000000000001,1,1,0.2444765865802765,True
PPO,65,mid,11,0.09000000000000001,1,1,0.7105878591537476,True
PPO,65,mid,12,0.35943754196166994,2,2,0.8721605539321899,True
PPO,65,mid,13,0.09000000000000001,1,1,0.24050089716911316,True
PPO,65,mid,14,0.09000000000000001,1,1,0.046129532158374786,True
PPO,65,mid,15,0.09000000000000001,1,1,0.3387582302093506,True
PPO,65,mid,16,0.09000000000000001,1,1,1.1652032136917114,True
PPO,65,mid,17,0.09000000000000001,1,1,0.5677541494369507,True
PPO,65,mid,18,0.09000000000000001,1,1,0.14876504242420197,True
PPO,65,mid,19,0.09000000000000001,1,1,1.1448034048080444,True
PPO,65,mid,20,0.09000000000000001,1,1,0.48085713386535645,True
PPO,65,mid,21,0.09000000000000001,1,1,0.7863708138465881,True
PPO,65,mid,22,0.09000000000000001,1,1,0.8095940351486206,True
PPO,65,mid,23,0.09000000000000001,1,1,0.4952877163887024,True
PPO,65,mid,24,0.09000000000000001,1,1,0.317048579454422,True
PPO,65,mid,25,0.09000000000000001,1,1,0.06730718910694122,True
PPO,65,mid,26,0.09000000000000001,1,1,0.9295497536659241,True
PPO,65,mid,27,0.09000000000000001,1,1,0.7502792477607727,True
PPO,65,mid,28,0.09000000000000001,1,1,0.7411209940910339,True
PPO,65,mid,29,0.09000000000000001,1,1,0.47252896428108215,True
PPO,65,mid,30,0.09000000000000001,1,1,1.0097148418426514,True
PPO,65,mid,31,0.09000000000000001,1,1,0.34941956400871277,True
PPO,65,mid,32,0.09000000000000001,1,1,0.3380446434020996,True
