agent,seed,phase,train_episodes,test_episodes,mean_reward,std_reward,mean_steps,mean_selected_regions,mean_classification_loss,stop_rate
PPO,15,early,1000,2000,0.09,1.3877787807814457e-17,1.0,1.0,0.6372669447176158,1.0
PPO,15,mid,2000,3000,0.09722456051349639,0.041137562959697616,1.0743333333333334,1.069,0.628250411529094,0.9993333333333333
PPO,15,final,3000,4000,-0.271801596344225,0.29793978033249024,6.93275,1.93675,0.5962391254715621,0.3755
DQN,15,early,1000,2000,0.023923487542495143,0.23816559924182276,3.587,2.2155,0.5863984571751207,0.85
DQN,15,mid,2000,3000,0.0918013300526639,0.18509291035262102,2.6773333333333333,2.037,0.5757436419899264,0.9316666666666666
DQN,15,final,3000,4000,0.0958893136605248,0.1828069409548341,2.7385,2.15125,0.5754532154668123,0.939
DiscreteSAC,15,early,1000,2000,-0.5045851442027837,0.10427511363391881,10.0,2.163,0.6000770889203996,0.0005
DiscreteSAC,15,mid,2000,3000,-0.4653580544987817,0.1328580072519469,9.997,2.7223333333333333,0.5966396932080388,0.056
DiscreteSAC,15,final,3000,4000,-0.2705093384150788,0.17048812955948212,9.99725,3.4425,0.5724643675424158,0.9495
PPO,35,early,1000,2000,-0.08308474382609128,0.29001098228750066,3.995,1.6045,0.6380512578208,0.7025
PPO,35,mid,2000,3000,-0.1017111774824063,0.29852025506332797,4.490333333333333,1.6583333333333334,0.6240803868547082,0.646
PPO,35,final,3000,4000,0.09177201020896436,0.018128834011575022,1.017,1.017,0.6538972208146006,1.0
DQN,35,early,1000,2000,0.04992563923664393,0.21771889955353196,3.1545,2.1435,0.6099458747580647,0.886
DQN,35,mid,2000,3000,0.0919490225333969,0.1754656590027641,2.6193333333333335,2.041,0.6059135201722383,0.94
DQN,35,final,3000,4000,0.10075276155859234,0.16717473092190502,2.51225,2.0405,0.5986889694649726,0.94875
DiscreteSAC,35,early,1000,2000,-0.5186051244970411,0.10483917536298498,10.0,2.179,0.6366216384917498,0.0
DiscreteSAC,35,mid,2000,3000,-0.5078687274158001,0.09868538451493199,9.98,2.090333333333333,0.626257936788102,0.004666666666666667
DiscreteSAC,35,final,3000,4000,-0.4010594129357859,0.27267979715165414,7.936,1.9715,0.6703761439593509,0.27375
PPO,45,early,1000,2000,-0.5223322231119125,0.1487028600741634,9.694,2.04,0.5749521842598915,0.037
PPO,45,mid,2000,3000,0.09,1.3877787807814457e-17,1.0,1.0,0.5728276361643027,1.0
PPO,45,final,3000,4000,0.09914047748237852,0.06088032715724706,1.17975,1.14175,0.5598998567969539,0.99525
DQN,45,early,1000,2000,0.011221547778956602,0.24661280311497444,3.528,2.1215,0.5363334133690223,0.843
DQN,45,mid,2000,3000,0.10546530225182574,0.14273811481970994,2.2453333333333334,1.8993333333333333,0.5228590005791436,0.9683333333333334
DQN,45,final,3000,4000,0.10652654977243396,0.14324965774160023,2.22675,1.89875,0.5237187845068983,0.96975
DiscreteSAC,45,early,1000,2000,-0.5161292167205364,0.09161281572697882,10.0,2.1525,0.5505391778685153,0.0005
DiscreteSAC,45,mid,2000,3000,-0.4443396638041983,0.13464733004113222,9.991666666666667,2.8223333333333334,0.5385839666351676,0.19866666666666666
DiscreteSAC,45,final,3000,4000,-0.2755559498776309,0.1413524797803144,9.999,3.45875,0.5209162841569632,0.99275
PPO,55,early,1000,2000,0.09,1.3877787807814457e-17,1.0,1.0,0.629112311558798,1.0
PPO,55,mid,2000,3000,0.10043685075501602,0.05395912079505026,1.179,1.1576666666666666,0.6073227429576218,0.9973333333333333
PPO,55,final,3000,4000,0.07941469399310651,0.1453200761599073,1.80475,1.37275,0.5919465747056529,0.946
DQN,55,early,1000,2000,0.07603362907469274,0.18685863280053217,2.575,1.916,0.5832036824841053,0.9255
DQN,55,mid,2000,3000,0.10168739360491437,0.1553759735045471,2.323,1.9063333333333334,0.5692655334410568,0.96
DQN,55,final,3000,4000,0.1035483837925643,0.16048481676397094,2.3705,1.9615,0.5650678849061951,0.95775
DiscreteSAC,55,early,1000,2000,-0.5056782807877659,0.10401526567547834,9.996,2.215,0.5965305923465639,0.005
DiscreteSAC,55,mid,2000,3000,-0.559451571777463,0.089955338910449,10.0,2.0,0.6304678321567675,0.0
DiscreteSAC,55,final,3000,4000,-0.558619379944168,0.08939953129796666,10.0,2.0,0.6277281486429274,0.0
PPO,65,early,1000,2000,0.09,1.3877787807814457e-17,1.0,1.0,0.6381745465584099,1.0
PPO,65,mid,2000,3000,0.09431367034316061,0.03463544421090821,1.0583333333333333,1.0476666666666667,0.6336744703476628,0.9986666666666667
PPO,65,final,3000,4000,0.033665076837092654,0.2194600726186671,2.78725,1.67125,0.5999601337173953,0.8605
DQN,65,early,1000,2000,0.055865520238727345,0.20155511949772434,2.874,1.9705,0.5942190263196826,0.9055
DQN,65,mid,2000,3000,0.08076315347254277,0.18136870655745704,2.67,2.0003333333333333,0.588108320551614,0.9316666666666666
DQN,65,final,3000,4000,0.1037564049459994,0.14557207642909273,2.2075,1.832,0.5886288056084886,0.96675
DiscreteSAC,65,early,1000,2000,-0.5217380547904222,0.09928051195861508,9.9995,2.1315,0.6166676013488323,0.001
DiscreteSAC,65,mid,2000,3000,-0.4439249633524815,0.14126236574928946,9.984,2.651666666666667,0.597873104043305,0.20733333333333334
DiscreteSAC,65,final,3000,4000,-0.31029933646380903,0.1646062803993283,9.99975,3.25175,0.587349547018297,0.8415
PPO,75,early,1000,2000,-0.5073442790806293,0.08807551871230315,10.0,2.0,0.5723302800823004,0.0
PPO,75,mid,2000,3000,-0.008648720282415541,0.2605998545418477,3.391,1.679,0.5695547663383186,0.786
PPO,75,final,3000,4000,-0.20870287420939657,0.2981239576007294,6.42725,2.21275,0.5609944514464587,0.43925
DQN,75,early,1000,2000,0.029610100212097184,0.23469503772678113,3.431,2.1395,0.5633159007895738,0.8455
DQN,75,mid,2000,3000,0.07775666555454336,0.18491573943472175,2.687666666666667,1.992,0.5621493805013597,0.927
DQN,75,final,3000,4000,-0.006287759121805418,0.26514618018282143,4.25675,2.482,0.5552593363588676,0.7925
DiscreteSAC,75,early,1000,2000,-0.5129836988165973,0.10141548324788364,10.0,2.2355,0.5898196998182684,0.0005
DiscreteSAC,75,mid,2000,3000,-0.5353823263177773,0.11895318827717495,9.940333333333333,2.1453333333333333,0.6110450390403469,0.015333333333333332
DiscreteSAC,75,final,3000,4000,-0.19807044522713868,0.32027111802314495,5.6595,1.91475,0.6045895224642008,0.593
PPO,85,early,1000,2000,0.09,1.3877787807814457e-17,1.0,1.0,0.6014958248082548,1.0
PPO,85,mid,2000,3000,0.09,1.3877787807814457e-17,1.0,1.0,0.5999228479365508,1.0
PPO,85,final,3000,4000,0.09492909030258659,0.0874384318842,1.3585,1.2355,0.5870740388436243,0.9855
DQN,85,early,1000,2000,0.04741534629501403,0.2084785904662772,2.735,1.826,0.5656804785132408,0.896
DQN,85,mid,2000,3000,0.036962156998515135,0.21909995592617162,2.881,1.8133333333333332,0.5613173576047024,0.8703333333333333
DQN,85,final,3000,4000,-0.1743778094033897,0.3018427944962279,6.528,2.8175,0.5577734385496005,0.53525
DiscreteSAC,85,early,1000,2000,-0.5230772804085165,0.0995707152180039,10.0,2.092,0.5792481052167714,0.0005
DiscreteSAC,85,mid,2000,3000,-0.45610625327462956,0.13223083193229251,9.996,2.687,0.5617691012111803,0.141
DiscreteSAC,85,final,3000,4000,-0.29346693367790433,0.13455524019788026,10.0,3.0865,0.5495675628241151,0.98575
