agent,seed,phase,evaluation_episode,reward,steps,selected_regions,classification_loss,stopped
DQN,125,early,1,0.09000000000000001,1,1,0.09793441742658615,True
DQN,125,early,2,-0.415319561958313,10,3,0.5399986505508423,False
DQN,125,early,3,0.09000000000000001,1,1,0.2571370005607605,True
DQN,125,early,4,0.12962181091308594,3,3,0.6578880548477173,True
DQN,125,early,5,0.059502975940704354,2,2,0.4729344844818115,True
DQN,125,early,6,0.20175345420837404,2,2,0.5213173627853394,True
DQN,125,early,7,0.030079133510589613,3,3,0.8701637983322144,True
DQN,125,early,8,-0.46534913778305054,10,3,0.6571718454360962,False
DQN,125,early,9,0.09000000000000001,1,1,0.08149103075265884,True
DQN,125,early,10,-0.11745581626892089,5,2,1.1780039072036743,True
DQN,125,early,11,-0.14217110753059387,3,3,0.5788301229476929,True
DQN,125,early,12,-0.25664970874786375,10,3,0.8613920211791992,True
DQN,125,early,13,0.3210248422622681,3,3,0.5045021772384644,True
DQN,125,early,14,0.09000000000000001,1,1,0.28610607981681824,True
DQN,125,early,15,0.19675711512565613,3,3,0.47879841923713684,True
DQN,125,early,16,0.09000000000000001,1,1,0.17885741591453552,True
DQN,125,early,17,-0.4127147912979126,10,4,1.007783055305481,False
DQN,125,early,18,0.27671945810317994,3,3,0.8974271416664124,True
DQN,125,early,19,0.17252512454986574,2,2,0.43849557638168335,True
DQN,125,early,20,0.2895482349395752,2,2,0.46283286809921265,True
DQN,125,early,21,0.055920538902282727,4,4,0.5802526473999023,True
DQN,125,early,22,-0.6222720623016358,10,2,0.6006883382797241,False
DQN,125,early,23,0.09000000000000001,1,1,0.09398267418146133,True
DQN,125,early,24,0.09000000000000001,1,1,0.26647913455963135,True
DQN,125,early,25,0.2544690537452698,2,2,0.6309956908226013,True
DQN,125,early,26,0.09461255550384523,2,2,0.7003433108329773,True
DQN,125,early,27,0.14475841999053957,2,2,0.5041131973266602,True
DQN,125,early,28,0.2890210819244385,3,3,0.7793511152267456,True
DQN,125,early,29,0.1603547501564026,2,2,0.5555729269981384,True
DQN,125,early,30,-0.15416947603225706,5,2,0.5966378450393677,True
DQN,125,early,31,-0.28763494491577146,10,3,0.8206568360328674,True
DQN,125,early,32,0.10651803731918336,3,3,0.570386528968811,True
DQN,125,early,33,0.0799238157272339,3,3,0.8039752244949341,True
DQN,125,early,34,0.013032603263854983,5,5,0.4559231400489807,True
DQN,125,early,35,0.18048830509185793,2,2,0.5311993956565857,True
DQN,125,early,36,0.15635658979415895,2,2,0.5907163023948669,True
DQN,125,early,37,0.27609066843986513,2,2,0.451877623796463,True
DQN,125,early,38,0.21777327537536623,2,2,0.6812037825584412,True
DQN,125,early,39,0.09000000000000001,1,1,0.4171755015850067,True
DQN,125,early,40,0.09000000000000001,1,1,0.11083775013685226,True
DQN,125,early,41,-6.733179092406616e-05,4,2,0.5456042289733887,True
DQN,125,early,42,0.11306025803089143,3,3,0.1850275695323944,True
DQN,125,early,43,0.09000000000000001,1,1,0.7890661954879761,True
DQN,125,early,44,0.09000000000000001,1,1,0.5455772280693054,True
DQN,125,early,45,0.31603480100631715,3,3,0.8383933901786804,True
DQN,125,early,46,-0.45716224908828734,10,2,0.9709764122962952,False
DQN,125,early,47,0.07307534098625185,2,2,0.3517586886882782,True
DQN,125,early,48,0.07309693813323975,3,3,0.7911492586135864,True
DQN,125,early,49,0.3169392216205597,2,2,0.4117172062397003,True
DQN,125,early,50,0.18873907804489137,2,2,0.7184597253799438,True
DQN,125,early,51,0.0732583272457123,2,2,0.12255675345659256,True
DQN,125,early,52,0.21537541031837465,2,2,0.371571809053421,True
DQN,125,early,53,-0.5064665853977204,10,2,0.4985872209072113,False
DQN,125,early,54,0.1752623784542084,2,2,0.47805431485176086,True
DQN,125,early,55,0.09000000000000001,1,1,0.16788718104362488,True
DQN,125,early,56,0.20062340021133424,3,3,0.5731515884399414,True
DQN,125,early,57,0.053428331315517434,2,2,0.1323753446340561,True
DQN,125,early,58,0.1353240180015564,2,2,0.848477303981781,True
DQN,125,early,59,0.12678420305252075,4,4,0.6600017547607422,True
DQN,125,early,60,0.18524158716201783,3,3,0.33595678210258484,True
DQN,125,early,61,0.07401611089706422,2,2,0.2788422107696533,True
DQN,125,early,62,0.11591537475585939,2,2,0.7145960927009583,True
DQN,125,early,63,0.09000000000000001,1,1,0.4169318974018097,True
DQN,125,early,64,0.11120855987071993,2,2,0.12975187599658966,True
DQN,125,early,65,0.09000000000000001,1,1,0.14848080277442932,True
DQN,125,early,66,0.31188560247421265,3,3,0.6328991651535034,True
DQN,125,early,67,-0.26137049198150636,10,4,0.628452718257904,False
DQN,125,early,68,0.4583013224601746,2,2,0.7860237956047058,True
DQN,125,early,69,0.16642362594604493,3,3,0.5471771359443665,True
DQN,125,early,70,0.42096758604049683,3,3,0.7638903260231018,True
DQN,125,early,71,0.11290933370590212,2,2,0.8726660013198853,True
DQN,125,early,72,0.09000000000000001,1,1,0.37645086646080017,True
DQN,125,early,73,0.1606918889284134,2,2,0.1771203726530075,True
DQN,125,early,74,0.20163466215133669,2,2,0.6146854162216187,True
DQN,125,early,75,-0.4691606640815735,10,2,0.655998706817627,False
DQN,125,early,76,0.1314054447412491,2,2,0.11576615273952484,True
DQN,125,early,77,0.04418917179107667,2,2,0.38429293036460876,True
DQN,125,early,78,0.10073101699352266,2,2,0.22543199360370636,True
DQN,125,early,79,-0.03780196189880371,3,2,0.4966106116771698,True
DQN,125,early,80,0.37689406394958497,3,3,1.1197788715362549,True
DQN,125,early,81,-0.18084696769714353,9,3,0.8886507749557495,True
DQN,125,early,82,0.0910120975971222,3,3,0.47244593501091003,True
DQN,125,early,83,-0.06946305751800537,2,2,0.5090962648391724,True
DQN,125,early,84,0.19396842241287232,3,3,0.6511631011962891,True
DQN,125,early,85,-0.04125618219375611,3,3,0.5952203869819641,True
DQN,125,early,86,-0.45590757131576537,10,2,0.9274654984474182,False
DQN,125,early,87,0.09000000000000001,1,1,0.3683569133281708,True
DQN,125,early,88,0.2183842134475708,3,3,0.7929736971855164,True
DQN,125,early,89,-0.6675957620143892,10,2,0.5739798545837402,False
DQN,125,early,90,0.05898746252059936,5,2,0.8542044758796692,True
DQN,125,early,91,0.2064173984527588,2,2,0.3130398392677307,True
DQN,125,early,92,0.09000000000000001,1,1,0.9571037292480469,True
DQN,125,early,93,0.3315089511871338,2,2,0.18393221497535706,True
DQN,125,early,94,0.16349719643592836,2,2,0.4583616554737091,True
DQN,125,early,95,0.06452579975128175,2,2,0.5163474678993225,True
DQN,125,early,96,0.06900525808334353,3,3,0.6690554022789001,True
DQN,125,early,97,0.09000000000000001,1,1,0.7588897943496704,True
DQN,125,early,98,0.17721516072750093,2,2,0.23097066581249237,True
DQN,125,early,99,0.20744165778160095,5,4,0.37257638573646545,True
DQN,125,early,100,0.22660313725471498,2,2,0.42247274518013,True
DQN,125,early,101,0.16262717723846437,2,2,0.508963406085968,True
DQN,125,early,102,0.09000000000000001,1,1,0.0860431045293808,True
DQN,125,early,103,0.09000000000000001,1,1,0.3237195312976837,True
DQN,125,early,104,0.11099857807159424,3,3,0.6734403967857361,True
DQN,125,early,105,-0.01195951581001281,3,3,0.5280524492263794,True
DQN,125,early,106,0.11326189517974855,2,2,0.7058749198913574,True
DQN,125,early,107,0.2245218324661255,2,2,0.8128288388252258,True
DQN,125,early,108,0.2317717742919922,3,3,1.0310084819793701,True
DQN,125,early,109,0.048262972831726085,3,2,0.5171070694923401,True
DQN,125,early,110,-0.05861610174179076,5,4,1.0083967447280884,True
DQN,125,early,111,0.03948477089405061,2,2,0.23118264973163605,True
DQN,125,early,112,-0.5187048196792603,10,2,0.7424418330192566,False
DQN,125,early,113,0.001245336532592789,2,2,0.35656800866127014,True
DQN,125,early,114,0.09000000000000001,1,1,0.6096019148826599,True
DQN,125,early,115,0.03597165822982789,2,2,0.7498293519020081,True
DQN,125,early,116,0.013620184659957901,2,2,0.4733477234840393,True
DQN,125,early,117,0.09000000000000001,1,1,0.780116617679596,True
DQN,125,early,118,0.052994714975357064,2,2,0.4841410219669342,True
DQN,125,early,119,0.09000000000000001,1,1,0.5409590601921082,True
DQN,125,early,120,0.09000000000000001,1,1,0.4592858850955963,True
DQN,125,early,121,0.2740901875495911,2,2,0.6730528473854065,True
DQN,125,early,122,0.1344691288471222,3,3,0.26563912630081177,True
DQN,125,early,123,0.30615134716033937,2,2,0.3684667944908142,True
DQN,125,early,124,0.15102715969085692,7,3,1.0307402610778809,True
DQN,125,early,125,0.3289758634567261,3,3,1.1080790758132935,True
DQN,125,early,126,0.06585949420928955,4,4,0.8308353424072266,True
DQN,125,early,127,-0.09546248435974121,7,3,0.766213595867157,True
DQN,125,early,128,0.09000000000000001,1,1,0.12476731091737747,True
DQN,125,early,129,0.3773629665374756,5,4,1.1015610694885254,True
DQN,125,early,130,0.09000000000000001,1,1,0.6016543507575989,True
DQN,125,early,131,0.1066804099082947,2,2,0.5443300604820251,True
DQN,125,early,132,0.19985108256340028,2,2,0.2551261782646179,True
DQN,125,early,133,0.021485106945037857,2,2,0.5893303155899048,True
DQN,125,early,134,0.20688177824020387,2,2,0.4714987277984619,True
DQN,125,early,135,0.2235804271697998,3,3,0.7454512715339661,True
DQN,125,early,136,0.09914358139038087,2,2,0.14342691004276276,True
DQN,125,early,137,-0.01382535219192503,7,4,0.7345796823501587,True
