agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
DQN,125,early,1,1,-0.002487583160400375,2.0,2.0,0.40338271856307983,nan
DQN,125,early,2,2,0.02811497628688813,2.0,2.0,0.2112966626882553,nan
DQN,125,early,3,3,-0.024314157962799066,8.0,4.0,0.873989999294281,nan
DQN,125,early,4,4,0.19007821559906007,2.0,2.0,1.0337988138198853,nan
DQN,125,early,5,5,-0.04227070093154907,3.0,2.0,0.40155431628227234,nan
DQN,125,early,6,6,0.07390736222267152,2.0,2.0,0.14573948085308075,nan
DQN,125,early,7,7,-0.3055370926856995,5.0,3.0,0.5322393178939819,nan
DQN,125,early,8,8,0.033202128410339364,2.0,2.0,0.19220557808876038,nan
DQN,125,early,9,9,0.22573612809181215,2.0,2.0,0.32954806089401245,nan
DQN,125,early,10,10,-0.2345112323760986,10.0,6.0,0.7927745580673218,nan
DQN,125,early,11,11,0.09000000000000001,1.0,1.0,0.2661557197570801,nan
DQN,125,early,12,12,-0.1436323308944702,4.0,2.0,1.1038007736206055,nan
DQN,125,early,13,13,-0.031504567265510555,3.0,2.0,0.18534137308597565,nan
DQN,125,early,14,14,0.09000000000000001,1.0,1.0,1.0879662036895752,nan
DQN,125,early,15,15,0.04727916836738587,3.0,2.0,0.41438785195350647,nan
DQN,125,early,16,16,-0.07340877771377564,7.0,4.0,0.5701336860656738,nan
DQN,125,early,17,17,-0.3573029816150665,10.0,4.0,0.20447607338428497,0.006440296594519168
DQN,125,early,18,18,0.09000000000000001,1.0,1.0,0.7290521264076233,0.0013168732402846217
DQN,125,early,19,19,-0.4828163504600525,10.0,4.0,0.6661213636398315,0.000684888759860769
DQN,125,early,20,20,-0.16949353814125062,10.0,4.0,0.40916743874549866,0.0006800453382311388
DQN,125,early,21,21,0.21414034247398378,2.0,2.0,0.4112079441547394,0.0007900290947873145
DQN,125,early,22,22,-0.1444729447364807,5.0,3.0,0.6133169531822205,0.0006885445909574628
DQN,125,early,23,23,0.09000000000000001,1.0,1.0,0.8624547123908997,0.0004496116889640689
DQN,125,early,24,24,0.054902739524841315,3.0,3.0,0.11607480049133301,0.0006659815359550217
DQN,125,early,25,25,-0.2341894632577896,6.0,4.0,0.4030868709087372,0.0005525675563452145
DQN,125,early,26,26,-0.17569336354732512,6.0,3.0,0.1965375691652298,0.00041594710395050544
DQN,125,early,27,27,-0.1204737329483032,4.0,3.0,0.9882574677467346,0.000360566315066535
DQN,125,early,28,28,-0.11786592602729797,5.0,2.0,0.5028191804885864,0.0004960646852850914
DQN,125,early,29,29,-0.4049213290214539,10.0,6.0,0.34766706824302673,0.0002977142561576329
DQN,125,early,30,30,0.18000067949295045,2.0,2.0,0.8089616894721985,0.0006672760646324605
DQN,125,early,31,31,0.029722024202346806,3.0,2.0,0.43971729278564453,0.0005761433470373353
DQN,125,early,32,32,0.015250254869461063,3.0,2.0,0.3946329951286316,0.00037628680972071987
DQN,125,early,33,33,-0.5320876181125642,10.0,5.0,0.3853316307067871,0.000408551306463778
DQN,125,early,34,34,0.09000000000000001,1.0,1.0,0.9385682940483093,0.0006683343090116978
DQN,125,early,35,35,0.012894077301025403,8.0,6.0,1.1497509479522705,0.0004991600471839774
DQN,125,early,36,36,-0.13785739839076994,5.0,2.0,0.28215113282203674,0.00031025293574202804
DQN,125,early,37,37,0.09000000000000001,1.0,1.0,0.7983961701393127,0.0003144248330499977
DQN,125,early,38,38,0.09000000000000001,1.0,1.0,0.6208264231681824,0.00017305022629443556
DQN,125,early,39,39,-0.26362721920013427,10.0,4.0,0.9335518479347229,0.0003217917255824432
DQN,125,early,40,40,0.02944500207901001,4.0,3.0,0.5744675993919373,0.0003043199558305787
DQN,125,early,41,41,-0.1706976318359375,9.0,5.0,0.5843653678894043,0.0006625224098873635
DQN,125,early,42,42,0.01031544983386995,2.0,2.0,0.30941054224967957,0.00040325921872863546
DQN,125,early,43,43,-0.5653585195541383,10.0,3.0,0.6230583786964417,0.0003717611718457192
DQN,125,early,44,44,-0.4684094905853272,10.0,4.0,0.3989167809486389,0.0003983805188909173
DQN,125,early,45,45,-0.19880486726760863,10.0,4.0,0.6497980952262878,0.0004698596865637228
DQN,125,early,46,46,-0.1205924987792969,10.0,5.0,0.9431072473526001,0.0005021392629714682
DQN,125,early,47,47,-0.33425124883651736,10.0,5.0,0.7783684134483337,0.000528891003341414
DQN,125,early,48,48,0.05074657917022706,3.0,2.0,0.71734219789505,0.00038423314011500526
DQN,125,early,49,49,-0.023530476093292216,3.0,3.0,0.6173614859580994,0.00037286971928551793
DQN,125,early,50,50,0.06281043052673341,4.0,3.0,0.8238388895988464,0.00027578044318943284
DQN,125,early,51,51,-0.39306325912475587,10.0,4.0,0.865150511264801,0.0003307668011984788
DQN,125,early,52,52,-0.3886856988072395,10.0,4.0,0.20712171494960785,0.0006245198179385625
DQN,125,early,53,53,0.09000000000000001,1.0,1.0,0.2998020052909851,0.0007186448783613741
DQN,125,early,54,54,-0.3650486469268799,10.0,5.0,0.9228706955909729,0.0006130333262262866
DQN,125,early,55,55,0.09000000000000001,1.0,1.0,1.1090162992477417,0.0006400815327651799
DQN,125,early,56,56,0.053897382616996774,2.0,2.0,0.24027042090892792,0.000485260461573489
DQN,125,early,57,57,0.039992431104183206,2.0,2.0,0.15470148622989655,0.00044936861377209425
DQN,125,early,58,58,-0.17919896841049193,5.0,3.0,0.6297163367271423,0.0003407648648135364
DQN,125,early,59,59,0.0714305067062378,6.0,4.0,0.8024787902832031,0.00044999093127747375
DQN,125,early,60,60,-0.1554340779781342,10.0,6.0,0.39836975932121277,0.000333781199879013
DQN,125,early,61,61,0.06163020849227907,3.0,2.0,0.83759605884552,0.000462166858293737
DQN,125,early,62,62,0.09000000000000001,1.0,1.0,0.7318482995033264,0.0005359478527680039
DQN,125,early,63,63,0.4370644855499268,2.0,2.0,1.23753821849823,0.00023564595176139846
DQN,125,early,64,64,0.09000000000000001,1.0,1.0,0.6067934036254883,0.00031556503381580114
DQN,125,early,65,65,0.05369533777236939,2.0,2.0,0.2616070806980133,0.0005912111519137397
DQN,125,early,66,66,-0.1304470133781433,7.0,3.0,0.7036507725715637,0.00038872577923549604
DQN,125,early,67,67,-0.1731527280807495,7.0,3.0,1.0213137865066528,0.0002709590148047677
DQN,125,early,68,68,0.22263134241104127,3.0,3.0,0.6791614294052124,0.00037535818410106003
DQN,125,early,69,69,-0.41008203327655796,10.0,6.0,0.2108750343322754,0.00023110094844014384
DQN,125,early,70,70,0.09000000000000001,1.0,1.0,0.27855077385902405,0.00018930221267510206
DQN,125,early,71,71,0.18210668563842775,5.0,3.0,0.948104739189148,0.000281882201670669
DQN,125,early,72,72,-0.07308037877082825,5.0,3.0,0.5090670585632324,0.0002014514961047098
DQN,125,early,73,73,0.1896291995048523,6.0,4.0,0.689769446849823,0.0003079575738714387
DQN,125,early,74,74,0.02052483320236205,9.0,7.0,0.96341472864151,0.0002401517170558994
DQN,125,early,75,75,0.138472216129303,2.0,2.0,0.7286162972450256,0.00039260107951122336
DQN,125,early,76,76,0.04022837638854981,4.0,3.0,0.3498883545398712,0.00023199461793410592
DQN,125,early,77,77,-0.4081217408180237,10.0,6.0,0.7151087522506714,0.00023622099979547784
DQN,125,early,78,78,0.10241851389408113,2.0,2.0,0.17403121292591095,0.00013388487059273757
DQN,125,early,79,79,0.12964858293533327,2.0,2.0,0.3371940553188324,0.00023573094949824736
DQN,125,early,80,80,0.09000000000000001,1.0,1.0,0.34403643012046814,0.0006059163133613765
DQN,125,early,81,81,-0.0748946475982666,3.0,2.0,0.3653790354728699,0.0003112988779321313
