agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
DiscreteSAC,125,early,1,1,-0.04214130878448487,4.0,3.0,0.3730364441871643,nan
DiscreteSAC,125,early,2,2,-0.029658598899841293,2.0,2.0,0.26907023787498474,nan
DiscreteSAC,125,early,3,3,0.09000000000000001,1.0,1.0,1.029675841331482,nan
DiscreteSAC,125,early,4,4,0.15894933223724367,2.0,2.0,1.0649276971817017,nan
DiscreteSAC,125,early,5,5,-0.5600095510482789,10.0,4.0,0.4492931663990021,nan
DiscreteSAC,125,early,6,6,-0.1639558410644531,6.0,2.0,0.14360268414020538,nan
DiscreteSAC,125,early,7,7,-0.29359821319580076,4.0,2.0,0.5303004384040833,nan
DiscreteSAC,125,early,8,8,0.09000000000000001,1.0,1.0,0.14540770649909973,nan
DiscreteSAC,125,early,9,9,0.09000000000000001,1.0,1.0,0.4752841889858246,nan
DiscreteSAC,125,early,10,10,-0.2015331172943115,9.0,3.0,0.8197964429855347,nan
DiscreteSAC,125,early,11,11,-0.4887349545955658,10.0,5.0,0.3548906743526459,nan
DiscreteSAC,125,early,12,12,-0.0020491313934326016,2.0,2.0,1.0822175741195679,nan
DiscreteSAC,125,early,13,13,0.07032376706600191,2.0,2.0,0.1435130387544632,nan
DiscreteSAC,125,early,14,14,0.05912602901458741,4.0,3.0,1.0388401746749878,nan
DiscreteSAC,125,early,15,15,-0.0216707193851471,4.0,3.0,0.47333773970603943,nan
DiscreteSAC,125,early,16,16,0.08135159492492677,2.0,2.0,0.6153733134269714,-0.3084961771965027
DiscreteSAC,125,early,17,17,-0.4090402185916901,10.0,6.0,0.2062133103609085,-0.4627250909805298
DiscreteSAC,125,early,18,18,0.013569076061248783,3.0,2.0,0.7354830503463745,-0.5103440880775452
DiscreteSAC,125,early,19,19,-0.40891901254653934,10.0,6.0,0.6922240257263184,-0.5015292584896087
DiscreteSAC,125,early,20,20,0.09000000000000001,1.0,1.0,0.689673900604248,-0.5312086939811707
