agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
DiscreteSAC,25,final,1,3001,-0.3634836792945862,10.0,4.0,0.7243987321853638,-1.2976773858070374
DiscreteSAC,25,final,2,3002,-0.5881074041128159,10.0,4.0,0.3514673411846161,-1.305329191684723
DiscreteSAC,25,final,3,3003,-0.4330666184425354,10.0,4.0,0.7100577354431152,-1.3041914343833922
DiscreteSAC,25,final,4,3004,-0.26815094947814944,10.0,5.0,0.665727436542511,-1.2518805265426636
DiscreteSAC,25,final,5,3005,-0.35518689751625065,10.0,7.0,0.3638961911201477,-1.3068323850631713
DiscreteSAC,25,final,6,3006,-0.1341479539871216,10.0,6.0,0.6421161890029907,-1.315790331363678
DiscreteSAC,25,final,7,3007,-0.21813300848007205,10.0,6.0,0.5969496965408325,-1.2848403573036193
DiscreteSAC,25,final,8,3008,-0.349600088596344,10.0,4.0,0.852859616279602,-1.2734183311462401
DiscreteSAC,25,final,9,3009,-0.22230763435363765,10.0,6.0,0.3460254371166229,-1.2791917324066162
DiscreteSAC,25,final,10,3010,-0.3791874170303345,10.0,4.0,0.5694392323493958,-1.3023378610610963
DiscreteSAC,25,final,11,3011,0.028279173374176035,10.0,6.0,0.6836960911750793,-1.2774192571640015
DiscreteSAC,25,final,12,3012,-0.020194771289825456,9.0,5.0,0.586231529712677,-1.245539704958598
DiscreteSAC,25,final,13,3013,-0.4051946043968201,10.0,5.0,0.3679684102535248,-1.2635136842727661
DiscreteSAC,25,final,14,3014,-0.26398128271102905,10.0,5.0,0.31416240334510803,-1.3180100440979003
DiscreteSAC,25,final,15,3015,-0.4465972274541855,10.0,5.0,0.257655531167984,-1.2555454850196839
DiscreteSAC,25,final,16,3016,-0.2872637569904327,10.0,6.0,0.27478545904159546,-1.3026646375656128
DiscreteSAC,25,final,17,3017,-0.19232645630836487,10.0,5.0,0.278212308883667,-1.2655979990959167
DiscreteSAC,25,final,18,3018,-0.370262610912323,10.0,4.0,0.32530492544174194,-1.2735898971557618
DiscreteSAC,25,final,19,3019,0.0758527636528015,10.0,4.0,0.5687596201896667,-1.2641977429389955
DiscreteSAC,25,final,20,3020,-0.18656867980957031,9.0,5.0,0.517429769039154,-1.2568470107184515
DiscreteSAC,25,final,21,3021,-0.3632746887207031,7.0,4.0,0.7334269881248474,-1.2883157559803553
DiscreteSAC,25,final,22,3022,-0.28276939392089845,10.0,4.0,0.6774240732192993,-1.2806807041168213
DiscreteSAC,25,final,23,3023,-0.44333858489990235,10.0,4.0,0.29234403371810913,-1.271077024936676
DiscreteSAC,25,final,24,3024,-0.3288299679756165,10.0,5.0,0.9131444096565247,-1.2767152428627013
DiscreteSAC,25,final,25,3025,-0.2464089959859848,10.0,6.0,0.1879885196685791,-1.3219536542892456
DiscreteSAC,25,final,26,3026,-0.34186495542526246,10.0,4.0,0.8188526034355164,-1.3100024104118346
DiscreteSAC,25,final,27,3027,-0.32655984759330753,10.0,6.0,0.3898078501224518,-1.2977501153945923
DiscreteSAC,25,final,28,3028,-0.482202672958374,10.0,5.0,0.5190642476081848,-1.2881696581840516
DiscreteSAC,25,final,29,3029,-0.18077977895736694,10.0,5.0,0.8264182209968567,-1.2762921571731567
DiscreteSAC,25,final,30,3030,-0.4408049374818802,10.0,5.0,0.16007168591022491,-1.2861863851547242
DiscreteSAC,25,final,31,3031,-0.4961917638778687,10.0,5.0,0.6650206446647644,-1.2795401334762573
DiscreteSAC,25,final,32,3032,-0.3749520033597946,10.0,5.0,0.26743027567863464,-1.2619609236717224
DiscreteSAC,25,final,33,3033,-0.414260995388031,10.0,4.0,0.7153962850570679,-1.269563865661621
DiscreteSAC,25,final,34,3034,-0.6248977601528168,10.0,4.0,0.5697841048240662,-1.3240950584411622
DiscreteSAC,25,final,35,3035,0.07329176425933837,9.0,6.0,0.5837597846984863,-1.293781002362569
DiscreteSAC,25,final,36,3036,-0.1810538053512573,10.0,7.0,0.5799619555473328,-1.307089388370514
DiscreteSAC,25,final,37,3037,-0.3374106645584107,10.0,6.0,0.37457579374313354,-1.2721789360046387
DiscreteSAC,25,final,38,3038,-0.17889671564102172,9.0,4.0,0.41331759095191956,-1.2679246134228177
DiscreteSAC,25,final,39,3039,-0.34556987285614016,10.0,5.0,0.7848079800605774,-1.302372980117798
DiscreteSAC,25,final,40,3040,-0.4439628452062608,10.0,4.0,0.2723740041255951,-1.277472937107086
DiscreteSAC,25,final,41,3041,-0.139568030834198,10.0,5.0,0.6200945973396301,-1.2907541871070862
DiscreteSAC,25,final,42,3042,-0.3398448973894119,10.0,5.0,0.3183821737766266,-1.3113484501838684
DiscreteSAC,25,final,43,3043,0.12856027007102966,8.0,5.0,0.3174884021282196,-1.274329498410225
DiscreteSAC,25,final,44,3044,-0.4120080292224884,10.0,4.0,0.38400721549987793,-1.2869155764579774
DiscreteSAC,25,final,45,3045,-0.35705529451370244,10.0,7.0,0.9229527711868286,-1.2920780897140502
DiscreteSAC,25,final,46,3046,-0.39683003425598146,10.0,4.0,0.9311942458152771,-1.2961467504501343
DiscreteSAC,25,final,47,3047,-0.38312294483184817,10.0,5.0,0.5765288472175598,-1.3144970059394836
DiscreteSAC,25,final,48,3048,-0.37910434007644656,10.0,5.0,0.4557734429836273,-1.2894259452819825
DiscreteSAC,25,final,49,3049,-0.09965132713317869,9.0,4.0,0.322704941034317,-1.3272660043504503
DiscreteSAC,25,final,50,3050,-0.5336824178695679,10.0,4.0,0.5914482474327087,-1.3069462180137634
DiscreteSAC,25,final,51,3051,0.07293751239776611,10.0,3.0,0.9566670656204224,-1.31497403383255
