agent,seed,phase,evaluation_episode,reward,steps,selected_regions,classification_loss,stopped
DiscreteSAC,5,early,1,-0.5407298684120179,10,2,0.45356664061546326,False
DiscreteSAC,5,early,2,-0.4338596940040588,10,2,0.40496277809143066,False
DiscreteSAC,5,early,3,-0.5574709355831147,10,2,0.11187295615673065,False
DiscreteSAC,5,early,4,-0.5296839952468873,10,2,0.5813313126564026,False
DiscreteSAC,5,early,5,-0.563653963804245,10,2,0.46066877245903015,False
DiscreteSAC,5,early,6,-0.48278270959854125,10,2,0.9044246077537537,False
DiscreteSAC,5,early,7,-0.5528255581855774,10,2,0.5393950343132019,False
DiscreteSAC,5,early,8,-0.3540997505187989,10,3,0.4114709496498108,False
DiscreteSAC,5,early,9,-0.6457666635513307,10,2,1.079912781715393,False
DiscreteSAC,5,early,10,-0.39317278861999516,10,2,0.3140934109687805,False
DiscreteSAC,5,early,11,-0.6247030675411226,10,2,0.4296286702156067,False
DiscreteSAC,5,early,12,-0.5586834132671357,10,2,0.31817764043807983,False
DiscreteSAC,5,early,13,-0.5228592038154602,10,2,0.5520070195198059,False
DiscreteSAC,5,early,14,-0.4659627556800842,10,2,0.756047785282135,False
DiscreteSAC,5,early,15,-0.7164725244045259,10,2,0.6061525940895081,False
DiscreteSAC,5,early,16,-0.6096721768379212,10,2,0.34556517004966736,False
DiscreteSAC,5,early,17,-0.5731500342488289,10,2,0.11173617839813232,False
DiscreteSAC,5,early,18,-0.5620590329170227,10,2,0.41058793663978577,False
DiscreteSAC,5,early,19,-0.5556385397911072,10,2,0.5746864676475525,False
DiscreteSAC,5,early,20,-0.43023504614830016,10,2,0.3353891372680664,False
DiscreteSAC,5,early,21,-0.542060124874115,10,2,0.24661776423454285,False
DiscreteSAC,5,early,22,-0.6097107112407685,10,2,0.5318379998207092,False
DiscreteSAC,5,early,23,-0.5878935754299165,10,3,0.34751585125923157,False
DiscreteSAC,5,early,24,-0.45778714418411254,10,2,0.8239272236824036,False
DiscreteSAC,5,early,25,-0.5564539313316346,10,2,0.6502304673194885,False
DiscreteSAC,5,early,26,-0.595063428580761,10,2,0.15325696766376495,False
DiscreteSAC,5,early,27,-0.39321910142898564,10,2,0.8560360074043274,False
DiscreteSAC,5,early,28,-0.39459555149078374,10,2,0.7085962295532227,False
DiscreteSAC,5,early,29,-0.6120352327823639,10,2,0.41693395376205444,False
DiscreteSAC,5,early,30,-0.6076093494892121,10,2,0.3016338348388672,False
DiscreteSAC,5,early,31,-0.6126472234725954,10,2,0.6392187476158142,False
DiscreteSAC,5,early,32,-0.4921594142913818,10,2,0.3410501182079315,False
DiscreteSAC,5,early,33,-0.5896559238433838,10,2,0.7870022654533386,False
DiscreteSAC,5,early,34,-0.7821246564388278,10,2,0.5799371004104614,False
DiscreteSAC,5,early,35,-0.27630275487899786,10,3,0.8384316563606262,False
DiscreteSAC,5,early,36,-0.5377513647079468,10,2,0.6474916338920593,False
DiscreteSAC,5,early,37,-0.4941853165626526,10,2,0.9675058722496033,False
DiscreteSAC,5,early,38,-0.5275298535823822,10,2,0.41253310441970825,False
DiscreteSAC,5,early,39,-0.5697671204805375,10,2,0.25779151916503906,False
DiscreteSAC,5,early,40,-0.5621611952781678,10,2,0.11048773676156998,False
DiscreteSAC,5,early,41,-0.42940014898777007,10,2,0.21082110702991486,False
DiscreteSAC,5,early,42,-0.5712865471839905,10,2,0.93508380651474,False
DiscreteSAC,5,early,43,-0.5531566917896271,10,2,0.35628440976142883,False
DiscreteSAC,5,early,44,-0.7166354089975359,10,2,0.30708780884742737,False
DiscreteSAC,5,early,45,-0.47780697345733647,10,2,0.5021253228187561,False
DiscreteSAC,5,early,46,-0.5208918333053589,10,2,0.9566976428031921,False
DiscreteSAC,5,early,47,-0.5810056209564209,10,2,0.8754770159721375,False
DiscreteSAC,5,early,48,-0.5390700429677964,10,2,0.1382756233215332,False
DiscreteSAC,5,early,49,-0.5989330142736435,10,2,0.18446286022663116,False
DiscreteSAC,5,early,50,-0.5484997063875199,10,2,0.13435260951519012,False
DiscreteSAC,5,early,51,-0.6595044314861299,10,2,0.49402332305908203,False
DiscreteSAC,5,early,52,-0.6560163825750353,10,2,0.3178738057613373,False
DiscreteSAC,5,early,53,-0.5625566869974137,10,2,0.0463552288711071,False
DiscreteSAC,5,early,54,-0.5356597185134888,10,2,0.7589494585990906,False
DiscreteSAC,5,early,55,-0.48534153699874877,10,2,0.8212714791297913,False
DiscreteSAC,5,early,56,-0.5103298902511597,10,2,0.3687923848628998,False
DiscreteSAC,5,early,57,-0.37259428501129155,10,2,0.6417809128761292,False
DiscreteSAC,5,early,58,-0.5792555093765259,10,2,0.755854606628418,False
DiscreteSAC,5,early,59,-0.4591556668281555,10,2,0.6761237382888794,False
DiscreteSAC,5,early,60,-0.5777851819992066,10,2,0.9467973709106445,False
DiscreteSAC,5,early,61,-0.40217821598052983,10,2,1.2226098775863647,False
DiscreteSAC,5,early,62,-0.423725426197052,10,3,0.8263422250747681,False
DiscreteSAC,5,early,63,-0.5492378801107407,10,2,0.21910472214221954,False
DiscreteSAC,5,early,64,-0.495992112159729,10,2,1.178143858909607,False
DiscreteSAC,5,early,65,-0.8715556561946871,10,3,0.6614866852760315,False
DiscreteSAC,5,early,66,-0.596619325876236,10,2,0.3509313464164734,False
DiscreteSAC,5,early,67,-0.6021622002124787,10,2,0.34580516815185547,False
DiscreteSAC,5,early,68,-0.5639439553022385,10,2,0.13044074177742004,False
DiscreteSAC,5,early,69,-0.5774570509791375,10,2,0.10935834795236588,False
DiscreteSAC,5,early,70,-0.4623621582984924,10,2,0.8405658602714539,False
DiscreteSAC,5,early,71,-0.4657821536064148,10,2,0.4228554368019104,False
DiscreteSAC,5,early,72,-0.5760039567947388,10,2,0.8334317803382874,False
DiscreteSAC,5,early,73,-0.46951186656951904,10,3,0.3291284143924713,False
DiscreteSAC,5,early,74,-0.5108518779277802,10,2,0.43051761388778687,False
DiscreteSAC,5,early,75,-0.4538722813129425,10,2,0.37640222907066345,False
DiscreteSAC,5,early,76,-0.5662678956985474,10,2,0.7030351758003235,False
DiscreteSAC,5,early,77,-0.5819267362356186,10,2,0.24535225331783295,False
DiscreteSAC,5,early,78,-0.46498249769210814,10,2,0.8226701021194458,False
DiscreteSAC,5,early,79,-0.5589589059352875,10,2,0.27464228868484497,False
DiscreteSAC,5,early,80,-0.5259861379861832,10,2,0.2121438980102539,False
DiscreteSAC,5,early,81,-0.5150475382804871,10,2,0.579029381275177,False
DiscreteSAC,5,early,82,-0.5509746849536896,10,2,0.2682926058769226,False
DiscreteSAC,5,early,83,-0.5055945992469788,10,2,0.9493963122367859,False
DiscreteSAC,5,early,84,-0.6390437364578249,10,2,0.2194376289844513,False
DiscreteSAC,5,early,85,-0.6168873488903046,10,2,0.3284222483634949,False
DiscreteSAC,5,early,86,-0.5500122487545014,10,2,0.40351399779319763,False
DiscreteSAC,5,early,87,-0.4122825741767884,10,2,0.6011864542961121,False
DiscreteSAC,5,early,88,-0.5871112823486329,10,2,0.5673535466194153,False
DiscreteSAC,5,early,89,-0.650272297859192,10,2,0.5915520787239075,False
DiscreteSAC,5,early,90,-0.5769234329462052,10,2,0.26659098267555237,False
DiscreteSAC,5,early,91,-0.1398703932762146,10,2,0.8095635771751404,False
DiscreteSAC,5,early,92,-0.5112555801868439,10,2,0.4673415720462799,False
DiscreteSAC,5,early,93,-0.44809006452560424,10,2,0.48174113035202026,False
DiscreteSAC,5,early,94,-0.4685993671417236,10,2,0.6311938166618347,False
DiscreteSAC,5,early,95,-0.5888858616352082,10,2,0.396112859249115,False
DiscreteSAC,5,early,96,-0.5187190651893616,10,2,0.6846667528152466,False
DiscreteSAC,5,early,97,-0.5611418932676316,10,3,0.12680821120738983,False
DiscreteSAC,5,early,98,-0.4949341893196106,10,2,0.7245492935180664,False
DiscreteSAC,5,early,99,-0.6474828600883485,10,2,0.2582605481147766,False
DiscreteSAC,5,early,100,-0.3624853968620301,10,2,0.24375435709953308,False
DiscreteSAC,5,early,101,-0.5773547768592835,10,2,0.938200831413269,False
DiscreteSAC,5,early,102,-0.48310511112213134,10,2,0.6935540437698364,False
DiscreteSAC,5,early,103,-0.4673949956893921,10,2,0.8413742780685425,False
DiscreteSAC,5,early,104,-0.5662976756691933,10,2,0.12541942298412323,False
DiscreteSAC,5,early,105,-0.48153697252273564,10,2,0.5258525609970093,False
DiscreteSAC,5,early,106,-0.5154099345207215,10,2,0.6026769876480103,False
DiscreteSAC,5,early,107,-0.5660355418920517,10,2,0.2228548526763916,False
DiscreteSAC,5,early,108,-0.5112154364585877,10,2,0.534706711769104,False
DiscreteSAC,5,early,109,-0.534577238559723,10,2,0.384636253118515,False
DiscreteSAC,5,early,110,-0.5110571637749672,10,2,0.08799201995134354,False
DiscreteSAC,5,early,111,-0.5718025296926499,10,2,0.21942885220050812,False
DiscreteSAC,5,early,112,-0.5439244985580445,10,2,0.2762080132961273,False
DiscreteSAC,5,early,113,-0.5206509709358216,10,2,0.6954869031906128,False
DiscreteSAC,5,early,114,-0.6873423933982851,10,2,0.6724597215652466,False
DiscreteSAC,5,early,115,-0.5113437652587891,10,2,0.7979995012283325,False
DiscreteSAC,5,early,116,-0.5187190651893616,10,2,0.6846667528152466,False
DiscreteSAC,5,early,117,-0.5146673202514649,10,2,0.9702204465866089,False
DiscreteSAC,5,early,118,-0.4406612992286682,10,2,0.8233486413955688,False
DiscreteSAC,5,early,119,-0.5638153731822968,10,2,0.4478607773780823,False
DiscreteSAC,5,early,120,-0.4028874516487122,10,2,0.7942416071891785,False
DiscreteSAC,5,early,121,-0.5638159096240998,10,2,0.10913396626710892,False
DiscreteSAC,5,early,122,-0.5582976371049881,10,2,0.20745323598384857,False
DiscreteSAC,5,early,123,-0.5734087824821473,10,3,0.795653223991394,False
DiscreteSAC,5,early,124,-0.5902386784553528,10,2,0.3306647837162018,False
DiscreteSAC,5,early,125,-0.15071058273315432,10,3,0.7128357887268066,False
DiscreteSAC,5,early,126,-0.5707594633102417,10,2,1.0380183458328247,False
DiscreteSAC,5,early,127,-0.602895188331604,10,2,0.7547513246536255,False
DiscreteSAC,5,early,128,-0.5647327184677124,10,2,0.5067098736763,False
DiscreteSAC,5,early,129,-0.6778527379035951,10,2,0.6034497022628784,False
DiscreteSAC,5,early,130,-0.5820626124739647,10,2,0.11486516147851944,False
DiscreteSAC,5,early,131,-0.5984026819467545,10,2,0.20807187259197235,False
DiscreteSAC,5,early,132,-0.466795015335083,10,2,1.277316927909851,False
DiscreteSAC,5,early,133,-0.45654024481773375,10,2,0.346768856048584,False
DiscreteSAC,5,early,134,-0.5940870523452759,10,2,1.149176001548767,False
DiscreteSAC,5,early,135,-0.46505122184753417,10,2,0.7794824838638306,False
DiscreteSAC,5,early,136,-0.595076921582222,10,2,0.2706397473812103,False
DiscreteSAC,5,early,137,-0.5860402613878251,10,2,0.23480439186096191,False
DiscreteSAC,5,early,138,-0.5882698774337769,10,2,0.26810646057128906,False
DiscreteSAC,5,early,139,-0.6113785386085511,10,2,0.648831844329834,False
DiscreteSAC,5,early,140,-0.4803806722164154,10,2,0.4810948073863983,False
DiscreteSAC,5,early,141,-0.571420729160309,10,3,0.6266226172447205,False
DiscreteSAC,5,early,142,-0.5581494152545929,10,2,0.3293578326702118,False
DiscreteSAC,5,early,143,-0.41823666095733647,10,2,0.7940579652786255,False
DiscreteSAC,5,early,144,-0.5641433775424958,10,2,0.29694193601608276,False
DiscreteSAC,5,early,145,-0.48723357915878296,10,3,0.4519976079463959,False
DiscreteSAC,5,early,146,-0.5606968879699707,10,2,0.3606056869029999,False
DiscreteSAC,5,early,147,-0.587998914718628,10,2,1.0622416734695435,False
DiscreteSAC,5,early,148,-0.4781001687049866,10,2,0.7392396926879883,False
DiscreteSAC,5,early,149,-0.47038580775260924,10,2,0.16276594996452332,False
DiscreteSAC,5,early,150,-0.6009401708841324,10,2,0.20721755921840668,False
DiscreteSAC,5,early,151,-0.5295040532946587,10,3,0.1304137110710144,False
DiscreteSAC,5,early,152,-0.689016628265381,10,2,0.6666282415390015,False
DiscreteSAC,5,early,153,-0.4405571103096008,10,2,0.5608431696891785,False
DiscreteSAC,5,early,154,-0.5436372339725495,10,2,0.20170056819915771,False
DiscreteSAC,5,early,155,-0.6729404211044313,10,2,0.7369704842567444,False
DiscreteSAC,5,early,156,-0.5488568127155304,10,2,0.40345892310142517,False
DiscreteSAC,5,early,157,-0.5635917447507381,10,3,0.12132346630096436,False
DiscreteSAC,5,early,158,-0.5631280422210694,10,2,0.09076027572154999,False
DiscreteSAC,5,early,159,-0.5456151247024537,10,2,0.2588045597076416,False
DiscreteSAC,5,early,160,-0.527979063987732,10,2,0.979495644569397,False
DiscreteSAC,5,early,161,-0.4899338960647583,10,2,0.4908584952354431,False
DiscreteSAC,5,early,162,-0.734048891067505,10,2,0.4563957154750824,False
DiscreteSAC,5,early,163,-0.5624695003032685,10,2,0.4949857294559479,False
DiscreteSAC,5,early,164,-0.5245994806289673,10,2,0.5060186982154846,False
DiscreteSAC,5,early,165,-0.5646576762199402,10,2,0.5309448838233948,False
DiscreteSAC,5,early,166,-0.5834484428167344,10,2,0.12954068183898926,False
DiscreteSAC,5,early,167,-0.5497560381889344,10,2,0.25351813435554504,False
DiscreteSAC,5,early,168,-0.43814657926559447,10,2,0.6272131204605103,False
DiscreteSAC,5,early,169,-0.5169731855392456,10,2,0.6943062543869019,False
DiscreteSAC,5,early,170,-0.42739282846450805,10,2,0.872592031955719,False
DiscreteSAC,5,early,171,-0.5566212564706803,10,2,0.23494495451450348,False
DiscreteSAC,5,early,172,-0.4318439245223999,10,2,0.7599123120307922,False
DiscreteSAC,5,early,173,-0.6462770581245424,10,2,0.22277019917964935,False
DiscreteSAC,5,early,174,-0.5549975812435151,10,2,0.19452394545078278,False
DiscreteSAC,5,early,175,-0.5891203284263612,10,3,0.44645094871520996,False
DiscreteSAC,5,early,176,-0.3027502775192261,10,2,0.6376102566719055,False
DiscreteSAC,5,early,177,-0.4572650194168091,10,3,0.9646601676940918,False
DiscreteSAC,5,early,178,-0.46466355323791503,10,2,0.6719239354133606,False
DiscreteSAC,5,early,179,-0.6222479224205019,10,2,0.4268355369567871,False
DiscreteSAC,5,early,180,-0.6340960144996645,10,2,0.433194637298584,False
DiscreteSAC,5,early,181,-0.3546690225601197,10,2,1.2769078016281128,False
DiscreteSAC,5,early,182,-0.49365106225013733,10,3,0.49403539299964905,False
DiscreteSAC,5,early,183,-0.4791332662105561,10,2,0.3010116219520569,False
DiscreteSAC,5,early,184,-0.5666315436363221,10,2,0.9165109395980835,False
DiscreteSAC,5,early,185,-0.5030550360679626,10,3,0.7045066952705383,False
DiscreteSAC,5,early,186,-0.5468740344047547,10,2,0.5842477679252625,False
