agent,seed,phase,evaluation_episode,reward,steps,selected_regions,classification_loss,stopped
DiscreteSAC,5,mid,1,-0.5407298684120179,10,2,0.45356664061546326,False
DiscreteSAC,5,mid,2,-0.47323317527770997,10,4,0.5443362593650818,False
DiscreteSAC,5,mid,3,-0.577566209435463,10,2,0.13196823000907898,False
DiscreteSAC,5,mid,4,-0.6737664937973022,10,3,0.7754138112068176,False
DiscreteSAC,5,mid,5,-0.530220091342926,10,3,0.4772348999977112,False
DiscreteSAC,5,mid,6,-0.30695724487304693,10,3,0.7785991430282593,False
DiscreteSAC,5,mid,7,-0.3836211442947388,10,2,0.3701906204223633,False
DiscreteSAC,5,mid,8,-0.3544608056545258,10,3,0.4118320047855377,False
DiscreteSAC,5,mid,9,-0.45687316656112675,10,2,0.8910192847251892,False
DiscreteSAC,5,mid,10,-0.3823851346969605,10,3,0.35330575704574585,False
DiscreteSAC,5,mid,11,-0.5260456383228302,10,2,0.33097124099731445,False
DiscreteSAC,5,mid,12,-0.34162365198135375,10,4,0.351117879152298,True
DiscreteSAC,5,mid,13,-0.2824225723743439,10,3,0.3615703880786896,False
DiscreteSAC,5,mid,14,-0.4761254668235779,10,2,0.7662104964256287,False
DiscreteSAC,5,mid,15,-0.6185091435909272,10,3,0.5581892132759094,False
DiscreteSAC,5,mid,16,-0.6096721768379212,10,2,0.34556517004966736,False
DiscreteSAC,5,mid,17,-0.5127907320857048,10,3,0.10137687623500824,False
DiscreteSAC,5,mid,18,-0.5198261439800262,10,3,0.4183550477027893,False
DiscreteSAC,5,mid,19,-0.5286307215690613,10,2,0.5476786494255066,False
DiscreteSAC,5,mid,20,-0.3886143565177918,10,3,0.343768447637558,False
DiscreteSAC,5,mid,21,-0.5739852070808411,10,2,0.2785428464412689,False
DiscreteSAC,5,mid,22,-0.4974527060985565,10,3,0.4695799946784973,False
DiscreteSAC,5,mid,23,-0.4968535780906677,10,2,0.2064758539199829,False
DiscreteSAC,5,mid,24,-0.5081891894340516,10,2,0.8743292689323425,False
DiscreteSAC,5,mid,25,-0.44651579856872564,10,3,0.5902923345565796,False
DiscreteSAC,5,mid,26,-0.5096920654177666,10,3,0.11788560450077057,False
DiscreteSAC,5,mid,27,-0.4597813367843628,10,2,0.9225982427597046,False
DiscreteSAC,5,mid,28,-0.3803568482398987,10,3,0.7443575263023376,False
DiscreteSAC,5,mid,29,-0.52538001537323,10,3,0.38027873635292053,False
DiscreteSAC,5,mid,30,-0.6076093494892121,10,2,0.3016338348388672,False
DiscreteSAC,5,mid,31,-0.5726557374000549,10,3,0.6492272615432739,False
DiscreteSAC,5,mid,32,-0.4589851975440979,10,2,0.3078759014606476,False
DiscreteSAC,5,mid,33,-0.6258966326713563,10,3,0.873242974281311,False
DiscreteSAC,5,mid,34,-0.3668870985507965,10,3,0.3646995425224304,True
DiscreteSAC,5,mid,35,-0.27630275487899786,10,3,0.8384316563606262,False
DiscreteSAC,5,mid,36,-0.42633187770843506,10,3,0.5860721468925476,False
DiscreteSAC,5,mid,37,-0.38078861236572265,10,2,0.8541091680526733,False
DiscreteSAC,5,mid,38,-0.4870108962059021,10,3,0.42201414704322815,False
DiscreteSAC,5,mid,39,-0.5317953556776047,10,2,0.21981975436210632,False
DiscreteSAC,5,mid,40,-0.5501991584897041,10,3,0.14852569997310638,False
DiscreteSAC,5,mid,41,-0.3548925518989563,10,3,0.18631350994110107,False
DiscreteSAC,5,mid,42,-0.4769846200942993,10,3,0.8907818794250488,False
DiscreteSAC,5,mid,43,-0.5531566917896271,10,2,0.35628440976142883,False
DiscreteSAC,5,mid,44,-0.5690518945455552,10,2,0.15950429439544678,False
DiscreteSAC,5,mid,45,-0.42005931138992314,10,2,0.4443776607513428,False
DiscreteSAC,5,mid,46,-0.35098469257354736,10,3,0.8367905020713806,False
DiscreteSAC,5,mid,47,-0.45407288074493407,10,2,0.7485442757606506,False
DiscreteSAC,5,mid,48,-0.584430131316185,10,2,0.18363571166992188,False
DiscreteSAC,5,mid,49,-0.5632637739181519,10,3,0.19879361987113953,False
DiscreteSAC,5,mid,50,-0.5640817016363144,10,2,0.14993460476398468,False
DiscreteSAC,5,mid,51,-0.28721744418144224,10,3,0.32173633575439453,True
DiscreteSAC,5,mid,52,-0.5747015029191971,10,3,0.28655892610549927,False
DiscreteSAC,5,mid,53,-0.5578195862472057,10,3,0.0916181281208992,False
DiscreteSAC,5,mid,54,-0.5299777269363404,10,2,0.7532674670219421,False
DiscreteSAC,5,mid,55,-0.48534153699874877,10,2,0.8212714791297913,False
DiscreteSAC,5,mid,56,-0.2083716869354248,10,4,0.3168341815471649,True
DiscreteSAC,5,mid,57,-0.09448026418685916,10,4,0.6136668920516968,True
DiscreteSAC,5,mid,58,-0.31520807743072515,10,3,0.5418071746826172,False
DiscreteSAC,5,mid,59,-0.5543469071388245,10,2,0.7713149785995483,False
DiscreteSAC,5,mid,60,-0.31808114051818853,10,3,0.7370933294296265,False
DiscreteSAC,5,mid,61,-0.15788209438323977,10,3,1.0283137559890747,False
DiscreteSAC,5,mid,62,-0.5129945755004883,10,2,0.8656113743782043,False
DiscreteSAC,5,mid,63,-0.24599924683570862,10,5,0.2158660888671875,True
DiscreteSAC,5,mid,64,-0.16431367397308352,10,3,0.8964654207229614,False
DiscreteSAC,5,mid,65,-0.47678959667682647,10,2,0.21672062575817108,False
DiscreteSAC,5,mid,66,-0.5906605005264283,10,2,0.34497252106666565,False
DiscreteSAC,5,mid,67,-0.48759719729423523,10,3,0.28124016523361206,False
DiscreteSAC,5,mid,68,-0.5639439553022385,10,2,0.13044074177742004,False
DiscreteSAC,5,mid,69,-0.5774570509791375,10,2,0.10935834795236588,False
DiscreteSAC,5,mid,70,-0.4623621582984924,10,2,0.8405658602714539,False
DiscreteSAC,5,mid,71,-0.5211095213890076,10,3,0.5281828045845032,False
DiscreteSAC,5,mid,72,-0.3798301577568054,10,3,0.837257981300354,True
DiscreteSAC,5,mid,73,-0.5634544968605042,10,2,0.3730710446834564,False
DiscreteSAC,5,mid,74,-0.41078504920005804,10,3,0.3804507851600647,False
DiscreteSAC,5,mid,75,-0.61921626329422,10,3,0.5917462110519409,False
DiscreteSAC,5,mid,76,-0.46530407667160034,10,3,0.6520713567733765,False
DiscreteSAC,5,mid,77,-0.5707385122776032,10,2,0.2341640293598175,False
DiscreteSAC,5,mid,78,-0.49982924461364747,10,4,0.9575168490409851,False
DiscreteSAC,5,mid,79,-0.5548684477806092,10,2,0.2705518305301666,False
DiscreteSAC,5,mid,80,-0.5926363497972489,10,2,0.2787941098213196,False
DiscreteSAC,5,mid,81,-0.5342947125434876,10,2,0.5982765555381775,False
DiscreteSAC,5,mid,82,-0.46417075395584106,10,3,0.2314886748790741,False
DiscreteSAC,5,mid,83,-0.39373111724853516,10,3,0.8875328302383423,False
DiscreteSAC,5,mid,84,-0.5724970281124115,10,2,0.15289092063903809,False
DiscreteSAC,5,mid,85,-0.5306726425886155,10,2,0.24220754206180573,False
DiscreteSAC,5,mid,86,-0.5500122487545014,10,2,0.40351399779319763,False
DiscreteSAC,5,mid,87,-0.41826879978179937,10,3,0.657172679901123,False
DiscreteSAC,5,mid,88,-0.5871112823486329,10,2,0.5673535466194153,False
DiscreteSAC,5,mid,89,-0.5203694880008698,10,2,0.4616492688655853,False
DiscreteSAC,5,mid,90,-0.4518734782934189,10,4,0.2415410280227661,False
DiscreteSAC,5,mid,91,-0.16291706562042235,10,2,0.8326102495193481,False
DiscreteSAC,5,mid,92,-0.5224621891975403,10,3,0.5285481810569763,False
DiscreteSAC,5,mid,93,-0.4546298861503601,10,2,0.4882809519767761,False
DiscreteSAC,5,mid,94,-0.3466476678848267,10,2,0.5092421174049377,False
DiscreteSAC,5,mid,95,-0.45596086978912354,10,3,0.3131878674030304,False
DiscreteSAC,5,mid,96,-0.566072690486908,10,2,0.732020378112793,False
DiscreteSAC,5,mid,97,-0.6003204464912415,10,2,0.11598676443099976,False
DiscreteSAC,5,mid,98,-0.6048940896987915,10,2,0.8345091938972473,False
DiscreteSAC,5,mid,99,-0.5745982855558396,10,2,0.18537597358226776,False
DiscreteSAC,5,mid,100,-0.24963378906250003,10,3,0.18090274930000305,False
DiscreteSAC,5,mid,101,-0.3621324419975281,10,4,0.8229784965515137,False
DiscreteSAC,5,mid,102,-0.5165145874023438,10,2,0.7269635200500488,False
DiscreteSAC,5,mid,103,-0.4783676266670227,10,3,0.9023469090461731,False
DiscreteSAC,5,mid,104,-0.5113465741276741,10,2,0.07046832144260406,False
DiscreteSAC,5,mid,105,-0.4468098282814026,10,3,0.5411254167556763,False
DiscreteSAC,5,mid,106,-0.5577682733535767,10,2,0.6450353264808655,False
DiscreteSAC,5,mid,107,-0.530516505241394,10,3,0.23733581602573395,False
DiscreteSAC,5,mid,108,-0.5191661596298218,10,2,0.5426574349403381,False
DiscreteSAC,5,mid,109,-0.5466434538364411,10,2,0.39670246839523315,False
DiscreteSAC,5,mid,110,-0.5635627508163453,10,3,0.19049760699272156,False
DiscreteSAC,5,mid,111,-0.5241585373878479,10,3,0.22178485989570618,False
DiscreteSAC,5,mid,112,-0.5457250952720643,10,2,0.2780086100101471,False
DiscreteSAC,5,mid,113,-0.4453940987586975,10,3,0.6702300310134888,False
DiscreteSAC,5,mid,114,-0.5592045783996582,10,3,0.5943219065666199,False
DiscreteSAC,5,mid,115,-0.34650731086730957,10,3,0.683163046836853,False
DiscreteSAC,5,mid,116,-0.566072690486908,10,2,0.732020378112793,False
DiscreteSAC,5,mid,117,-0.5146673202514649,10,2,0.9702204465866089,False
DiscreteSAC,5,mid,118,-0.27105653285980225,10,3,0.7037438750267029,False
DiscreteSAC,5,mid,119,-0.7167919456958772,10,2,0.6008373498916626,False
DiscreteSAC,5,mid,120,-0.4564032435417176,10,2,0.8477573990821838,False
DiscreteSAC,5,mid,121,-0.6231412246823311,10,2,0.16845928132534027,False
DiscreteSAC,5,mid,122,-0.5734029293060303,10,2,0.22255852818489075,False
DiscreteSAC,5,mid,123,-0.6202275633811952,10,2,0.7924720048904419,False
DiscreteSAC,5,mid,124,-0.5502226233482361,10,2,0.2906487286090851,False
DiscreteSAC,5,mid,125,-0.45407556295394896,10,2,0.9662007689476013,False
DiscreteSAC,5,mid,126,-0.47707289457321167,10,3,0.9943317770957947,False
DiscreteSAC,5,mid,127,-0.5442316412925721,10,2,0.6960877776145935,False
DiscreteSAC,5,mid,128,-0.5674987435340881,10,3,0.5594758987426758,False
DiscreteSAC,5,mid,129,-0.4832634925842285,10,3,0.45886045694351196,False
DiscreteSAC,5,mid,130,-0.5820626124739647,10,2,0.11486516147851944,False
DiscreteSAC,5,mid,131,-0.5630017071962357,10,3,0.22267089784145355,False
DiscreteSAC,5,mid,132,-0.3622292757034302,10,2,1.1727511882781982,False
DiscreteSAC,5,mid,133,-0.577774602174759,10,2,0.46800321340560913,False
DiscreteSAC,5,mid,134,-0.4636138677597046,10,3,1.0687028169631958,False
DiscreteSAC,5,mid,135,-0.5261558175086976,10,2,0.8405870795249939,False
DiscreteSAC,5,mid,136,-0.5824062079191208,10,3,0.30796903371810913,False
DiscreteSAC,5,mid,137,-0.6017827421426774,10,2,0.2505468726158142,False
DiscreteSAC,5,mid,138,-0.5398040592670441,10,2,0.21964064240455627,False
DiscreteSAC,5,mid,139,-0.5593511939048768,10,2,0.5968044996261597,False
DiscreteSAC,5,mid,140,-0.6201082348823549,10,2,0.6208223700523376,False
DiscreteSAC,5,mid,141,-0.5889342904090883,10,2,0.5941361784934998,False
DiscreteSAC,5,mid,142,-0.46953916549682617,10,3,0.29074758291244507,False
DiscreteSAC,5,mid,143,-0.3290777802467346,10,3,0.7548990845680237,False
DiscreteSAC,5,mid,144,-0.5641433775424958,10,2,0.29694193601608276,False
DiscreteSAC,5,mid,145,-0.4539574980735779,10,3,0.4187215268611908,False
DiscreteSAC,5,mid,146,-0.5418729662895203,10,2,0.34178176522254944,False
DiscreteSAC,5,mid,147,-0.4019348502159119,10,2,0.8761776089668274,False
DiscreteSAC,5,mid,148,-0.4781001687049866,10,2,0.7392396926879883,False
DiscreteSAC,5,mid,149,-0.5723124921321869,10,2,0.26469263434410095,False
DiscreteSAC,5,mid,150,-0.6009401708841324,10,2,0.20721755921840668,False
DiscreteSAC,5,mid,151,-0.5692858293652534,10,4,0.2201954871416092,False
DiscreteSAC,5,mid,152,-0.46939434409141545,10,2,0.447005957365036,False
DiscreteSAC,5,mid,153,-0.5529070973396302,10,2,0.6731931567192078,False
DiscreteSAC,5,mid,154,-0.5436372339725495,10,2,0.20170056819915771,False
DiscreteSAC,5,mid,155,-0.42929667234420776,10,3,0.543326735496521,False
DiscreteSAC,5,mid,156,-0.5291870415210724,10,2,0.38378915190696716,False
DiscreteSAC,5,mid,157,-0.5635917447507383,10,3,0.12132346630096436,False
DiscreteSAC,5,mid,158,-0.5951492816209794,10,2,0.12278151512145996,False
DiscreteSAC,5,mid,159,-0.7034233808517456,10,3,0.4666128158569336,False
DiscreteSAC,5,mid,160,-0.556535291671753,10,2,1.008051872253418,False
DiscreteSAC,5,mid,161,-0.4899338960647583,10,2,0.4908584952354431,False
DiscreteSAC,5,mid,162,-0.5411815226078034,10,2,0.26352834701538086,False
DiscreteSAC,5,mid,163,-0.5461660206317902,10,2,0.4786822497844696,False
DiscreteSAC,5,mid,164,-0.5635446190834046,10,2,0.5449638366699219,False
DiscreteSAC,5,mid,165,-0.2741068065166473,10,3,0.44039401412010193,True
DiscreteSAC,5,mid,166,-0.5240105763077736,10,3,0.12010281533002853,False
DiscreteSAC,5,mid,167,-0.5035555064678192,10,3,0.25731760263442993,False
DiscreteSAC,5,mid,168,-0.4882619261741638,10,2,0.6773284673690796,False
DiscreteSAC,5,mid,169,-0.5169731855392456,10,2,0.6943062543869019,False
DiscreteSAC,5,mid,170,-0.15288410186767576,10,3,0.7980833053588867,True
DiscreteSAC,5,mid,171,-0.5068927109241486,10,3,0.2352164089679718,False
DiscreteSAC,5,mid,172,-0.4318439245223999,10,2,0.7599123120307922,False
DiscreteSAC,5,mid,173,-0.48134326189756393,10,3,0.10783640295267105,False
DiscreteSAC,5,mid,174,-0.5606170773506165,10,2,0.20014344155788422,False
DiscreteSAC,5,mid,175,-0.5891203284263611,10,3,0.44645094871520996,False
DiscreteSAC,5,mid,176,-0.3027502775192261,10,2,0.6376102566719055,False
DiscreteSAC,5,mid,177,-0.4572650194168091,10,3,0.9646601676940918,False
DiscreteSAC,5,mid,178,-0.46466355323791503,10,2,0.6719239354133606,False
DiscreteSAC,5,mid,179,-0.2007824385166168,9,4,0.3153700530529022,True
DiscreteSAC,5,mid,180,-0.5243243753910065,10,2,0.32342299818992615,False
DiscreteSAC,5,mid,181,-0.15743029117584229,10,3,1.1296690702438354,False
DiscreteSAC,5,mid,182,-0.529861330986023,10,3,0.5302456617355347,False
DiscreteSAC,5,mid,183,-0.4791332662105561,10,2,0.3010116219520569,False
DiscreteSAC,5,mid,184,-0.41019606590270996,10,3,0.8100754618644714,False
DiscreteSAC,5,mid,185,-0.5426716089248658,10,2,0.6941232681274414,False
DiscreteSAC,5,mid,186,-0.49522078037261963,10,3,0.5825945138931274,False
DiscreteSAC,5,mid,187,-0.5289962470531464,10,2,0.17963790893554688,False
DiscreteSAC,5,mid,188,-0.5771146297454834,10,2,0.5624732971191406,False
DiscreteSAC,5,mid,189,-0.4716951847076416,10,3,0.7538095712661743,False
DiscreteSAC,5,mid,190,-0.5924568802118302,10,2,0.25951430201530457,False
