agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
DiscreteSAC,5,mid,1,1001,-0.5798215091228485,10.0,4.0,0.44931942224502563,-1.2705437302589417
DiscreteSAC,5,mid,2,1002,-0.47306342124938966,10.0,4.0,0.2689574062824249,-1.2877756237983704
DiscreteSAC,5,mid,3,1003,-0.38618314266204834,10.0,3.0,0.39302587509155273,-1.277267837524414
DiscreteSAC,5,mid,4,1004,-0.33018357753753663,10.0,4.0,0.6301990151405334,-1.2485961079597474
DiscreteSAC,5,mid,5,1005,-0.21060162782669067,10.0,5.0,0.23703202605247498,-1.2874552845954894
DiscreteSAC,5,mid,6,1006,-0.49712520837783813,10.0,3.0,0.719779372215271,-1.2920692086219787
DiscreteSAC,5,mid,7,1007,-0.22482873201370235,10.0,6.0,0.9822670817375183,-1.2577315092086792
DiscreteSAC,5,mid,8,1008,-0.44452036023139957,10.0,6.0,0.4733622670173645,-1.246422278881073
DiscreteSAC,5,mid,9,1009,-0.3707351088523865,10.0,3.0,0.9949312806129456,-1.2618534445762635
DiscreteSAC,5,mid,10,1010,-0.5494538784027101,10.0,5.0,0.5294876098632812,-1.2988781094551087
DiscreteSAC,5,mid,11,1011,-0.44275381565093996,10.0,5.0,0.6178451776504517,-1.286462140083313
DiscreteSAC,5,mid,12,1012,-0.4523772567510605,10.0,4.0,0.23626621067523956,-1.3073548674583435
DiscreteSAC,5,mid,13,1013,-0.3380348145961762,10.0,6.0,0.2767106294631958,-1.3021666407585144
DiscreteSAC,5,mid,14,1014,-0.5766472935676574,10.0,4.0,0.2559698224067688,-1.3064385890960692
DiscreteSAC,5,mid,15,1015,-0.22985429763793946,10.0,4.0,0.4450682997703552,-1.3114519357681274
DiscreteSAC,5,mid,16,1016,-0.4098883032798767,10.0,3.0,0.5623599290847778,-1.2967963218688965
DiscreteSAC,5,mid,17,1017,-0.7990942001342776,10.0,3.0,1.313297152519226,-1.2772579550743104
