agent,seed,phase,evaluation_episode,reward,steps,selected_regions,classification_loss,stopped
PPO,25,early,1,-0.3918267965316773,10,2,0.6969935297966003,False
PPO,25,early,2,-0.5100673913955689,10,2,0.6135581135749817,False
PPO,25,early,3,-0.46653835773468016,10,2,0.3941989839076996,False
PPO,25,early,4,-0.5826310694217682,10,2,0.48135867714881897,False
PPO,25,early,5,-0.5936207056045533,10,2,0.39135366678237915,False
PPO,25,early,6,-0.5393243312835694,10,2,0.55886310338974,False
PPO,25,early,7,-0.4934703290462494,10,2,0.4875417649745941,False
PPO,25,early,8,-0.4665173768997192,10,2,0.7847599983215332,False
PPO,25,early,9,-0.49950932264328,10,2,0.46545863151550293,False
PPO,25,early,10,-0.5693583518266678,10,2,0.13320662081241608,False
PPO,25,early,11,-0.5482182979583741,10,2,0.32053256034851074,False
PPO,25,early,12,-0.4791274547576904,10,2,0.7977764010429382,False
PPO,25,early,13,-0.4968860626220703,10,2,1.1152446269989014,False
PPO,25,early,14,-0.4354091167449951,10,2,0.34601539373397827,False
PPO,25,early,15,-0.495439338684082,10,2,1.0733451843261719,False
PPO,25,early,16,-0.43177610635757446,10,3,0.4538326859474182,False
PPO,25,early,17,-0.553586769104004,10,2,0.3155221939086914,False
PPO,25,early,18,-0.5482602149248124,10,2,0.16826561093330383,False
PPO,25,early,19,-0.5858744561672211,10,2,0.45922112464904785,False
PPO,25,early,20,-0.5351459562778473,10,2,0.32130247354507446,False
PPO,25,early,21,-0.5651099562644959,10,2,0.5717301964759827,False
PPO,25,early,22,-0.5334105670452118,10,2,0.3070829212665558,False
PPO,25,early,23,-0.5668113708496094,10,2,0.32053178548812866,False
PPO,25,early,24,-0.4112035512924195,10,2,0.5163950324058533,False
PPO,25,early,25,-0.44814692735671996,10,2,0.3911159634590149,False
PPO,25,early,26,-0.5606162875890732,10,2,0.2267741858959198,False
PPO,25,early,27,-0.5296531200408936,10,2,0.49583202600479126,False
PPO,25,early,28,-0.4740733981132507,10,2,0.38805338740348816,False
PPO,25,early,29,-0.6593384027481081,10,2,0.603521466255188,False
PPO,25,early,30,-0.5911068499088288,10,2,0.3381178379058838,False
PPO,25,early,31,-0.571189570426941,10,2,0.28744736313819885,False
PPO,25,early,32,-0.6478757441043855,10,2,0.4140126407146454,False
PPO,25,early,33,-0.5152928709983826,10,2,0.6298531293869019,False
PPO,25,early,34,-0.46096556186676024,10,2,1.04440438747406,False
PPO,25,early,35,-0.5114321291446686,10,2,0.46267780661582947,False
PPO,25,early,36,-0.5705564200878144,10,2,0.19162027537822723,False
PPO,25,early,37,-0.4762557029724121,10,2,0.875383734703064,False
PPO,25,early,38,-0.44079779386520385,10,2,0.7004469633102417,False
PPO,25,early,39,-0.6233685493469239,10,2,0.3115360736846924,False
PPO,25,early,40,-0.5688258290290833,10,2,0.3875511586666107,False
PPO,25,early,41,-0.5690899968147278,10,2,0.5626469850540161,False
PPO,25,early,42,-0.4490710377693176,10,2,0.5183786749839783,False
PPO,25,early,43,-0.5433308809995652,10,2,0.19420544803142548,False
PPO,25,early,44,-0.4431770324707031,10,2,0.4122592806816101,False
PPO,25,early,45,-0.533593687415123,10,2,0.212995246052742,False
PPO,25,early,46,-0.5973071485757828,10,2,0.21962766349315643,False
PPO,25,early,47,-0.597224909067154,10,2,0.43178245425224304,False
PPO,25,early,48,-0.4719105839729309,10,2,0.3622288703918457,False
PPO,25,early,49,-0.5856089472770691,10,2,0.5014678835868835,False
PPO,25,early,50,-0.5684740126132966,10,2,0.10229469835758209,False
