agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
PPO,25,final,1,3001,0.09000000000000001,1.0,1.0,0.8109150528907776,-0.015320110134780407
PPO,25,final,2,3002,0.09000000000000001,1.0,1.0,0.21335993707180023,-0.00870969658717513
PPO,25,final,3,3003,0.09000000000000001,1.0,1.0,0.7269911170005798,-0.013171744998544455
PPO,25,final,4,3004,0.07640636920928956,4.0,3.0,0.731170117855072,-0.01643417589366436
PPO,25,final,5,3005,0.09000000000000001,1.0,1.0,0.3087092936038971,-0.01024184888228774
PPO,25,final,6,3006,0.09000000000000001,1.0,1.0,0.7079682350158691,-0.015148290432989597
PPO,25,final,7,3007,0.09000000000000001,1.0,1.0,0.7288166880607605,-0.012354344362393022
PPO,25,final,8,3008,0.09000000000000001,1.0,1.0,0.9532595276832581,-0.01596188358962536
PPO,25,final,9,3009,0.06119118809700013,2.0,2.0,0.3425266146659851,-0.025008046766743064
PPO,25,final,10,3010,0.07529010057449342,2.0,2.0,0.6449617147445679,-0.03667454235255718
PPO,25,final,11,3011,0.09000000000000001,1.0,1.0,0.9119752645492554,-0.015956645365804434
PPO,25,final,12,3012,0.09000000000000001,1.0,1.0,0.7560367584228516,-0.01492568152025342
PPO,25,final,13,3013,0.09000000000000001,1.0,1.0,0.3627738058567047,-0.008537341607734561
PPO,25,final,14,3014,0.07398919939994814,2.0,2.0,0.30619192123413086,-0.031074454309418797
PPO,25,final,15,3015,0.07711453914642336,2.0,2.0,0.21394376456737518,-0.061386145651340485
PPO,25,final,16,3016,0.10538478374481203,2.0,2.0,0.3121369183063507,0.011171267367899418
PPO,25,final,17,3017,0.09000000000000001,1.0,1.0,0.3358858525753021,-0.01064582820981741
PPO,25,final,18,3018,0.09000000000000001,1.0,1.0,0.25504231452941895,-0.004048211849294603
PPO,25,final,19,3019,0.34558256149291994,2.0,2.0,0.6790298223495483,-0.006965176900848746
PPO,25,final,20,3020,0.09000000000000001,1.0,1.0,0.5208610892295837,-0.015073941322043538
PPO,25,final,21,3021,0.09000000000000001,1.0,1.0,0.4901522994041443,-0.005705262185074389
PPO,25,final,22,3022,0.09000000000000001,1.0,1.0,0.8446546792984009,-0.013257131446152925
PPO,25,final,23,3023,0.09000000000000001,1.0,1.0,0.2990054488182068,-0.010894483886659145
PPO,25,final,24,3024,0.05890663146972657,2.0,2.0,1.0054078102111816,-0.033402344677597284
PPO,25,final,25,3025,0.09000000000000001,1.0,1.0,0.1415795236825943,-0.005427318043075502
PPO,25,final,26,3026,0.46131803274154665,2.0,2.0,0.5456696152687073,0.022971770260483027
PPO,25,final,27,3027,0.09000000000000001,1.0,1.0,0.4132480025291443,-0.010489711770787835
PPO,25,final,28,3028,0.09000000000000001,1.0,1.0,0.4368615746498108,-0.01288304547779262
PPO,25,final,29,3029,0.46677834510803223,3.0,3.0,0.6488600969314575,0.007359855575487018
PPO,25,final,30,3030,0.09000000000000001,1.0,1.0,0.11926674842834473,-0.011174952844157815
PPO,25,final,31,3031,0.06645614624023438,3.0,3.0,0.5723727345466614,-0.01108841085806489
PPO,25,final,32,3032,0.09000000000000001,1.0,1.0,0.14247827231884003,-0.0061868742341175675
PPO,25,final,33,3033,0.1004896926879883,2.0,2.0,0.7306455969810486,-0.027541170129552484
PPO,25,final,34,3034,0.09000000000000001,1.0,1.0,0.3948863446712494,-0.010172090725973248
PPO,25,final,35,3035,0.030020911693572995,8.0,3.0,0.5370306372642517,-0.009444632334634662
PPO,25,final,36,3036,0.12339473009109499,6.0,4.0,0.5155134201049805,-0.014547885628417134
PPO,25,final,37,3037,-0.09484910249710081,3.0,3.0,0.5520142316818237,-0.03535223286598921
PPO,25,final,38,3038,0.09000000000000001,1.0,1.0,0.4744208753108978,-0.014777837553992867
PPO,25,final,39,3039,0.09000000000000001,1.0,1.0,0.8392381072044373,-0.009994079126045108
PPO,25,final,40,3040,0.09000000000000001,1.0,1.0,0.1284111589193344,-0.006570450845174491
PPO,25,final,41,3041,0.02516611337661745,3.0,2.0,0.7253604531288147,-0.040342570282518864
PPO,25,final,42,3042,0.09000000000000001,1.0,1.0,0.22853727638721466,-0.004777922760695219
PPO,25,final,43,3043,0.09000000000000001,1.0,1.0,0.5760486721992493,-0.004147598636336625
PPO,25,final,44,3044,0.09000000000000001,1.0,1.0,0.4219991862773895,-0.012249393155798316
PPO,25,final,45,3045,0.15032907009124757,2.0,2.0,0.7955684065818787,-0.016373041085898876
PPO,25,final,46,3046,0.11478264808654787,2.0,2.0,0.9495815634727478,-0.04780415026471019
PPO,25,final,47,3047,0.09000000000000001,1.0,1.0,0.5934059023857117,-0.009751311270520091
PPO,25,final,48,3048,0.09000000000000001,1.0,1.0,0.4766691029071808,-0.0069550477201119065
