agent,seed,phase,train_episodes,test_episodes,mean_reward,std_reward,mean_steps,mean_selected_regions,mean_classification_loss,stop_rate
PPO,5,early,1000,2000,-0.2806674316170439,0.3025422362390454,6.9845,2.0255,0.5378729457296431,0.3695
PPO,5,mid,2000,3000,0.0969557457192739,0.06532782698540837,1.2076666666666667,1.1483333333333334,0.563233683799083,0.9926666666666667
PPO,5,final,3000,4000,-0.14300830879874527,0.308142839028643,5.41175,2.11225,0.5444378188159317,0.57875
DQN,5,early,1000,2000,0.04152162408635021,0.20468783465221668,2.897,1.9305,0.535758890026249,0.9
DQN,5,mid,2000,3000,0.08680732785433533,0.14603020036048375,2.0646666666666667,1.6783333333333332,0.5433121016640217,0.9583333333333334
DQN,5,final,3000,4000,0.07286618612989787,0.17941372785968115,2.5215,1.854,0.5413033238872885,0.927
DiscreteSAC,5,early,1000,2000,-0.5259294353561474,0.0908824158602167,10.0,2.132,0.5521049494687468,0.0
DiscreteSAC,5,mid,2000,3000,-0.47563004209779197,0.11928399934584587,9.998666666666667,2.5946666666666665,0.5408261382828156,0.060333333333333336
DiscreteSAC,5,final,3000,4000,-0.2894139485466294,0.1444554140949073,10.0,3.3145,0.5344984585638158,0.971
PPO,25,early,1000,2000,-0.5204150303132831,0.07678039040782902,10.0,2.022,0.5394636927898974,0.0
PPO,25,mid,2000,3000,0.09,1.3877787807814457e-17,1.0,1.0,0.5668724845759571,1.0
PPO,25,final,3000,4000,0.06409449127644302,0.17571607950864915,2.13075,1.45675,0.5347082298509777,0.91575
DQN,25,early,1000,2000,0.055338720340803275,0.20323666557997963,2.896,1.948,0.5219249421358109,0.9045
DQN,25,mid,2000,3000,0.07419344024057191,0.18236027782225836,2.7946666666666666,2.078666666666667,0.5181823776687186,0.9283333333333333
DQN,25,final,3000,4000,0.08437782891418787,0.1761050989397933,2.633,2.06475,0.5184023922132328,0.9405
DiscreteSAC,25,early,1000,2000,-0.5058290587001293,0.09194548411851566,9.9995,2.158,0.5317827211767435,0.0005
DiscreteSAC,25,mid,2000,3000,-0.4368912932880719,0.1387531533183722,9.984666666666667,2.7356666666666665,0.5243671111973623,0.21933333333333332
DiscreteSAC,25,final,3000,4000,-0.2884598920116201,0.14797983298540585,9.99875,3.24525,0.5076826131390407,0.93625
PPO,125,early,1000,2000,0.09262341683745384,0.040149697219514516,1.0685,1.0525,0.6095993910785764,0.998
PPO,125,mid,2000,3000,0.09980171542346479,0.07630373765284364,1.322,1.243,0.5866833540219814,0.9903333333333333
PPO,125,final,3000,4000,0.08360555260315539,0.12334184649363068,1.59525,1.2835,0.5857545730792917,0.961
DQN,125,early,1000,2000,0.023585675386190424,0.23294387984286707,3.5265,2.173,0.5664821325298399,0.86
DQN,125,mid,2000,3000,0.07587793832977614,0.18373938408612678,2.5906666666666665,1.945,0.56098713111567,0.933
DQN,125,final,3000,4000,0.08366871501989664,0.18219429072718815,2.77,2.13425,0.5538814106625505,0.93525
DiscreteSAC,125,early,1000,2000,-0.5189179601894318,0.0945838650225288,9.999,2.098,0.5879607681054622,0.0005
DiscreteSAC,125,mid,2000,3000,-0.44411954774834217,0.1519658847488866,9.862333333333334,3.1173333333333333,0.5810012838604549,0.11766666666666667
DiscreteSAC,125,final,3000,4000,-0.2753041739608533,0.26553703415785573,7.40975,2.6455,0.6022817996433004,0.55025
